timestamp,angle_axis_x,angle_axis_y,angle_axis_z,angle_axis_cos,angle_axis_sin,pos_N,pos_E,pos_D,vel_N,vel_E,vel_D,accel_x,accel_y,accel_z,pos_uncert,vel_uncert
1031.721,-0.052,-0.996,0.075,1.000,0.008,0.000,0.000,-0.000,-0.030,0.031,0.063,0.154,-0.128,-9.668,nan,nan
1031.721,-0.052,-0.996,0.075,1.000,0.008,0.000,0.000,-0.000,-0.030,0.031,0.063,0.154,-0.128,-9.668,nan,nan
1031.721,-0.052,-0.996,0.075,1.000,0.008,0.000,0.000,-0.000,-0.030,0.031,0.063,0.154,-0.128,-9.668,nan,nan
1031.781,-0.132,-0.987,0.090,1.000,0.005,0.000,0.000,-0.000,-0.030,0.031,0.063,0.106,-0.129,-9.696,nan,nan
1031.781,-0.132,-0.987,0.090,1.000,0.005,0.000,0.000,-0.000,-0.030,0.031,0.063,0.106,-0.129,-9.696,nan,nan
1031.841,-0.098,-0.992,0.084,1.000,0.007,0.013,0.004,0.018,0.020,0.006,-0.020,0.123,-0.142,-9.714,nan,nan
1031.841,-0.098,-0.992,0.084,1.000,0.007,0.013,0.004,0.018,0.020,0.006,-0.020,0.123,-0.142,-9.714,nan,nan
1031.881,0.721,-0.687,-0.090,1.000,0.005,0.013,0.004,0.018,0.020,0.006,-0.020,0.142,-0.107,-9.683,nan,nan
1031.881,0.721,-0.687,-0.090,1.000,0.005,0.013,0.004,0.018,0.020,0.006,-0.020,0.142,-0.107,-9.683,nan,nan
1031.941,0.199,-0.980,0.027,1.000,0.007,0.013,0.004,0.018,0.020,0.006,-0.020,0.128,-0.107,-9.679,nan,nan
1031.941,0.199,-0.980,0.027,1.000,0.007,0.013,0.004,0.018,0.020,0.006,-0.020,0.128,-0.107,-9.679,nan,nan
1031.981,0.720,-0.688,-0.090,1.000,0.005,0.013,0.004,0.018,0.020,0.006,-0.020,0.142,-0.133,-9.678,nan,nan
1031.981,0.720,-0.688,-0.090,1.000,0.005,0.013,0.004,0.018,0.020,0.006,-0.020,0.142,-0.133,-9.678,nan,nan
1031.981,0.720,-0.688,-0.090,1.000,0.005,0.013,0.004,0.018,0.020,0.006,-0.020,0.142,-0.133,-9.678,nan,nan
1032.041,0.412,-0.911,-0.017,1.000,0.004,0.016,-0.016,0.019,-0.021,0.010,-0.023,0.118,-0.117,-9.655,nan,nan
1032.041,0.412,-0.911,-0.017,1.000,0.004,0.016,-0.016,0.019,-0.021,0.010,-0.023,0.118,-0.117,-9.655,nan,nan
1032.081,-0.532,-0.833,0.155,1.000,0.004,0.016,-0.016,0.019,-0.021,0.010,-0.023,0.130,-0.127,-9.667,nan,nan
1032.081,-0.532,-0.833,0.155,1.000,0.004,0.016,-0.016,0.019,-0.021,0.010,-0.023,0.130,-0.127,-9.667,nan,nan
1032.141,0.289,0.950,-0.117,1.000,0.005,0.016,-0.016,0.019,-0.021,0.010,-0.023,0.118,-0.133,-9.693,nan,nan
1032.141,0.289,0.950,-0.117,1.000,0.005,0.016,-0.016,0.019,-0.021,0.010,-0.023,0.118,-0.133,-9.693,nan,nan
1032.181,-0.080,-0.994,0.081,1.000,0.009,0.016,-0.016,0.019,-0.021,0.010,-0.023,0.138,-0.114,-9.686,nan,nan
1032.181,-0.080,-0.994,0.081,1.000,0.009,0.016,-0.016,0.019,-0.021,0.010,-0.023,0.138,-0.114,-9.686,nan,nan
1032.241,0.280,-0.960,0.011,1.000,0.006,0.029,-0.012,0.037,0.047,0.072,0.070,0.143,-0.144,-9.674,nan,nan
1032.241,0.280,-0.960,0.011,1.000,0.006,0.029,-0.012,0.037,0.047,0.072,0.070,0.143,-0.144,-9.674,nan,nan
1032.281,0.720,-0.688,-0.090,1.000,0.005,0.029,-0.012,0.037,0.047,0.072,0.070,0.138,-0.154,-9.659,nan,nan
1032.281,0.720,-0.688,-0.090,1.000,0.005,0.029,-0.012,0.037,0.047,0.072,0.070,0.138,-0.154,-9.659,nan,nan
1032.281,0.720,-0.688,-0.090,1.000,0.005,0.029,-0.012,0.037,0.047,0.072,0.070,0.138,-0.154,-9.659,nan,nan
1032.341,0.155,-0.987,0.036,1.000,0.009,0.029,-0.012,0.037,0.047,0.072,0.070,0.122,-0.142,-9.674,nan,nan
1032.341,0.155,-0.987,0.036,1.000,0.009,0.029,-0.012,0.037,0.047,0.072,0.070,0.122,-0.142,-9.674,nan,nan
1032.381,0.270,-0.963,0.013,1.000,0.005,0.029,-0.012,0.037,0.047,0.072,0.070,0.147,-0.111,-9.686,nan,nan
1032.381,0.270,-0.963,0.013,1.000,0.005,0.029,-0.012,0.037,0.047,0.072,0.070,0.147,-0.111,-9.686,nan,nan
1032.441,0.916,-0.372,-0.148,1.000,0.008,0.030,-0.044,0.026,0.005,-0.027,0.024,0.107,-0.120,-9.694,nan,nan
1032.441,0.916,-0.372,-0.148,1.000,0.008,0.030,-0.044,0.026,0.005,-0.027,0.024,0.107,-0.120,-9.694,nan,nan
1032.501,-0.290,-0.950,0.117,1.000,0.003,0.030,-0.044,0.026,0.005,-0.027,0.024,0.116,-0.129,-9.655,nan,nan
1032.501,-0.290,-0.950,0.117,1.000,0.003,0.030,-0.044,0.026,0.005,-0.027,0.024,0.116,-0.129,-9.655,nan,nan
1032.541,0.270,-0.963,0.013,1.000,0.005,0.030,-0.044,0.026,0.005,-0.027,0.024,0.170,-0.121,-9.682,nan,nan
1032.541,0.270,-0.963,0.013,1.000,0.005,0.030,-0.044,0.026,0.005,-0.027,0.024,0.170,-0.121,-9.682,nan,nan
1032.601,0.549,-0.834,-0.048,1.000,0.006,0.033,-0.063,0.028,0.019,0.006,-0.053,0.110,-0.109,-9.699,nan,nan
1032.601,0.549,-0.834,-0.048,1.000,0.006,0.033,-0.063,0.028,0.019,0.006,-0.053,0.110,-0.109,-9.699,nan,nan
1032.601,0.549,-0.834,-0.048,1.000,0.006,0.033,-0.063,0.028,0.019,0.006,-0.053,0.110,-0.109,-9.699,nan,nan
1032.641,0.270,-0.963,0.013,1.000,0.005,0.033,-0.063,0.028,0.019,0.006,-0.053,0.121,-0.132,-9.673,nan,nan
1032.641,0.270,-0.963,0.013,1.000,0.005,0.033,-0.063,0.028,0.019,0.006,-0.053,0.121,-0.132,-9.673,nan,nan
1032.701,0.867,-0.481,-0.132,1.000,0.006,0.033,-0.063,0.028,0.019,0.006,-0.053,0.123,-0.122,-9.688,nan,nan
1032.701,0.867,-0.481,-0.132,1.000,0.006,0.033,-0.063,0.028,0.019,0.006,-0.053,0.123,-0.122,-9.688,nan,nan
1032.741,0.977,0.094,-0.190,1.000,0.002,0.033,-0.063,0.028,0.019,0.006,-0.053,0.139,-0.159,-9.662,nan,nan
1032.741,0.977,0.094,-0.190,1.000,0.002,0.033,-0.063,0.028,0.019,0.006,-0.053,0.139,-0.159,-9.662,nan,nan
1032.801,0.955,-0.246,-0.164,1.000,0.006,0.055,-0.058,0.050,0.053,0.072,0.077,0.135,-0.129,-9.714,nan,nan
1032.801,0.955,-0.246,-0.164,1.000,0.006,0.055,-0.058,0.050,0.053,0.072,0.077,0.135,-0.129,-9.714,nan,nan
1032.841,0.982,0.024,-0.187,1.000,0.006,0.055,-0.058,0.050,0.053,0.072,0.077,0.118,-0.125,-9.685,nan,nan
