timestamp,R00,R01,R02,R11,R12,R22,pos_N,pos_E,pos_D,vel_N,vel_E,vel_D,accel_x,accel_y,accel_z,pos_uncert,vel_uncert
743.481,0.996,0.001,-0.087,0.998,0.059,0.994,0.000,0.000,-0.000,0.042,0.009,-0.069,-0.079,1.350,-9.653,nan,nan
743.481,0.996,0.001,-0.087,0.998,0.059,0.994,0.000,0.000,-0.000,0.042,0.009,-0.069,-0.079,1.350,-9.653,nan,nan
743.541,0.996,0.002,-0.089,0.999,0.053,0.995,0.000,0.000,-0.000,0.042,0.009,-0.069,-0.097,1.359,-9.614,nan,nan
743.541,0.996,0.002,-0.089,0.999,0.053,0.995,0.000,0.000,-0.000,0.042,0.009,-0.069,-0.097,1.359,-9.614,nan,nan
743.581,0.996,0.002,-0.089,0.999,0.053,0.995,0.000,0.000,-0.000,0.042,0.009,-0.069,-0.084,1.353,-9.617,nan,nan
743.581,0.996,0.002,-0.089,0.999,0.053,0.995,0.000,0.000,-0.000,0.042,0.009,-0.069,-0.084,1.353,-9.617,nan,nan
743.641,0.996,0.001,-0.085,0.998,0.055,0.995,0.000,0.000,-0.000,0.042,0.009,-0.069,-0.077,1.361,-9.630,nan,nan
743.641,0.996,0.001,-0.085,0.998,0.055,0.995,0.000,0.000,-0.000,0.042,0.009,-0.069,-0.077,1.361,-9.630,nan,nan
743.681,0.996,0.002,-0.089,0.998,0.056,0.994,0.018,0.004,0.009,-0.004,0.004,-0.045,-0.095,1.354,-9.636,nan,nan
743.681,0.996,0.002,-0.089,0.998,0.056,0.994,0.018,0.004,0.009,-0.004,0.004,-0.045,-0.095,1.354,-9.636,nan,nan
743.741,0.996,0.001,-0.088,0.998,0.056,0.995,0.018,0.004,0.009,-0.004,0.004,-0.045,-0.098,1.309,-9.662,nan,nan
743.741,0.996,0.001,-0.088,0.998,0.056,0.995,0.018,0.004,0.009,-0.004,0.004,-0.045,-0.098,1.309,-9.662,nan,nan
743.781,0.996,0.002,-0.091,0.998,0.055,0.994,0.018,0.004,0.009,-0.004,0.004,-0.045,-0.063,1.361,-9.648,nan,nan
743.781,0.996,0.002,-0.091,0.998,0.055,0.994,0.018,0.004,0.009,-0.004,0.004,-0.045,-0.063,1.361,-9.648,nan,nan
743.841,0.996,0.002,-0.090,0.998,0.056,0.994,0.018,0.004,0.009,-0.004,0.004,-0.045,-0.083,1.349,-9.642,nan,nan
743.841,0.996,0.002,-0.090,0.998,0.056,0.994,0.018,0.004,0.009,-0.004,0.004,-0.045,-0.083,1.349,-9.642,nan,nan
743.881,0.996,0.002,-0.087,0.998,0.055,0.995,0.035,0.007,0.018,0.003,0.006,-0.049,-0.063,1.358,-9.633,nan,nan
743.881,0.996,0.002,-0.087,0.998,0.055,0.995,0.035,0.007,0.018,0.003,0.006,-0.049,-0.063,1.358,-9.633,nan,nan
743.941,0.996,0.001,-0.087,0.998,0.055,0.995,0.035,0.007,0.018,0.003,0.006,-0.049,-0.094,1.343,-9.642,nan,nan
743.941,0.996,0.001,-0.087,0.998,0.055,0.995,0.035,0.007,0.018,0.003,0.006,-0.049,-0.094,1.343,-9.642,nan,nan
744.001,0.996,0.001,-0.086,0.998,0.059,0.995,0.035,0.007,0.018,0.003,0.006,-0.049,-0.070,1.352,-9.657,nan,nan
744.001,0.996,0.001,-0.086,0.998,0.059,0.995,0.035,0.007,0.018,0.003,0.006,-0.049,-0.070,1.352,-9.657,nan,nan
744.041,0.996,0.002,-0.088,0.999,0.053,0.995,0.035,0.007,0.018,0.003,0.006,-0.049,-0.077,1.339,-9.638,nan,nan
744.041,0.996,0.002,-0.088,0.999,0.053,0.995,0.035,0.007,0.018,0.003,0.006,-0.049,-0.077,1.339,-9.638,nan,nan
744.101,0.996,0.001,-0.088,0.998,0.056,0.995,0.068,0.003,0.023,0.006,-0.011,-0.036,-0.088,1.356,-9.657,nan,nan
744.101,0.996,0.001,-0.088,0.998,0.056,0.995,0.068,0.003,0.023,0.006,-0.011,-0.036,-0.088,1.356,-9.657,nan,nan
744.141,0.996,0.002,-0.091,0.998,0.058,0.994,0.068,0.003,0.023,0.006,-0.011,-0.036,-0.083,1.363,-9.641,nan,nan
744.141,0.996,0.002,-0.091,0.998,0.058,0.994,0.068,0.003,0.023,0.006,-0.011,-0.036,-0.083,1.363,-9.641,nan,nan
744.201,0.996,0.001,-0.087,0.998,0.055,0.995,0.068,0.003,0.023,0.006,-0.011,-0.036,-0.091,1.355,-9.652,nan,nan
744.201,0.996,0.001,-0.087,0.998,0.055,0.995,0.068,0.003,0.023,0.006,-0.011,-0.036,-0.091,1.355,-9.652,nan,nan
744.241,0.996,0.002,-0.089,0.998,0.055,0.995,0.068,0.003,0.023,0.006,-0.011,-0.036,-0.102,1.338,-9.669,nan,nan
744.241,0.996,0.002,-0.089,0.998,0.055,0.995,0.068,0.003,0.023,0.006,-0.011,-0.036,-0.102,1.338,-9.669,nan,nan
744.241,0.996,0.002,-0.089,0.998,0.055,0.995,0.068,0.003,0.023,0.006,-0.011,-0.036,-0.102,1.338,-9.669,nan,nan
744.301,0.996,0.002,-0.089,0.998,0.056,0.994,0.094,0.006,0.014,0.059,0.002,-0.098,-0.083,1.339,-9.628,nan,nan
744.341,0.996,0.002,-0.092,0.999,0.053,0.994,0.094,0.006,0.014,0.059,0.002,-0.098,-0.061,1.349,-9.635,nan,nan
744.341,0.996,0.002,-0.092,0.999,0.053,0.994,0.094,0.006,0.014,0.059,0.002,-0.098,-0.061,1.349,-9.635,nan,nan
744.341,0.996,0.002,-0.092,0.999,0.053,0.994,0.094,0.006,0.014,0.059,0.002,-0.098,-0.061,1.349,-9.635,nan,nan
744.401,0.996,0.001,-0.088,0.998,0.056,0.995,0.094,0.006,0.014,0.059,0.002,-0.098,-0.099,1.349,-9.632,nan,nan
744.441,0.996,0.002,-0.089,0.998,0.056,0.994,0.094,0.006,0.014,0.059,0.002,-0.098,-0.087,1.360,-9.622,nan,nan
744.441,0.996,0.002,-0.089,0.998,0.056,0.994,0.094,0.006,0.014,0.059,0.002,-0.098,-0.087,1.360,-9.622,nan,nan
744.501,0.996,0.001,-0.087,0.998,0.056,0.995,0.131,0.002,0.010,0.025,-0.017,-0.053,-0.085,1.363,-9.669,nan,nan
744.501,0.996,0.001,-0.087,0.998,0.056,0.995,0.131,0.002,0.010,0.025,-0.017,-0.053,-0.085,1.363,-9.669,nan,nan
744.501,0.996,0.001,-0.087,0.998,0.056,0.995,0.131,0.002,0.010,0.025,-0.017,-0.053,-0.085,1.363,-9.669,nan,nan
744.561,0.996,0.001,-0.091,0.998,0.061,0.994,0.131,0.002,0.010,0.025,-0.017,-0.053,-0.093,1.340,-9.642,nan,nan
744.601,0.996,0.001,-0.088,0.998,0.056,0.995,0.131,0.002,0.010,0.025,-0.017,-0.053,-0.088,1.339,-9.663,nan,nan
744.601,0.996,0.001,-0.088,0.998,0.056,0.995,0.131,0.002,0.010,0.025,-0.017,-0.053,-0.088,1.339,-9.663,nan,nan
744.661,0.996,0.001,-0.088,0.998,0.059,0.994,0.158,0.006,0.001,0.051,0.020,-0.120,-0.089,1.350,-9.677,nan,nan
744.661,0.996,0.001,-0.088,0.998,0.059,0.994,0.158,0.006,0.001,0.051,0.020,-0.120,-0.089,1.350,-9.677,nan,nan
744.701,0.996,0.001,-0.087,0.998,0.056,0.995,0.158,0.006,0.001,0.051,0.020,-0.120,-0.085,1.372,-9.620,nan,nan
744.701,0.996,0.001,-0.087,0.998,0.056,0.995,0.158,0.006,0.001,0.051,0.020,-0.120,-0.085,1.372,-9.620,nan,nan
744.761,0.996,0.002,-0.087,0.999,0.053,0.995,0.158,0.006,0.001,0.051,0.020,-0.120,-0.082,1.350,-9.650,nan,nan
744.761,0.996,0.002,-0.087,0.999,0.053,0.995,0.158,0.006,0.001,0.051,0.020,-0.120,-0.082,1.350,-9.650,nan,nan
744.801,0.996,0.001,-0.087,0.998,0.056,0.995,0.158,0.006,0.001,0.051,0.020,-0.120,-0.072,1.334,-9.626,nan,nan
744.801,0.996,0.001,-0.087,0.998,0.056,0.995,0.158,0.006,0.001,0.051,0.020,-0.120,-0.072,1.334,-9.626,nan,nan
744.861,0.996,0.002,-0.091,0.999,0.053,0.994,0.190,0.001,0.006,0.030,-0.001,-0.078,-0.072,1.323,-9.636,nan,nan
744.861,0.996,0.002,-0.091,0.999,0.053,0.994,0.190,0.001,0.006,0.030,-0.001,-0.078,-0.072,1.323,-9.636,nan,nan
744.901,0.996,0.002,-0.089,0.998,0.056,0.994,0.190,0.001,0.006,0.030,-0.001,-0.078,-0.080,1.345,-9.655,nan,nan
744.901,0.996,0.002,-0.089,0.998,0.056,0.994,0.190,0.001,0.006,0.030,-0.001,-0.078,-0.080,1.345,-9.655,nan,nan
744.901,0.996,0.002,-0.089,0.998,0.056,0.994,0.190,0.001,0.006,0.030,-0.001,-0.078,-0.080,1.345,-9.655,nan,nan
744.961,0.996,0.002,-0.088,0.999,0.055,0.995,0.190,0.001,0.006,0.030,-0.001,-0.078,-0.078,1.334,-9.610,nan,nan
745.001,0.996,0.001,-0.089,0.998,0.058,0.994,0.190,0.001,0.006,0.030,-0.001,-0.078,-0.087,1.344,-9.643,nan,nan
745.001,0.996,0.001,-0.089,0.998,0.058,0.994,0.190,0.001,0.006,0.030,-0.001,-0.078,-0.087,1.344,-9.643,nan,nan
745.001,0.996,0.001,-0.089,0.998,0.058,0.994,0.190,0.001,0.006,0.030,-0.001,-0.078,-0.087,1.344,-9.643,nan,nan
745.061,0.996,0.002,-0.090,0.999,0.055,0.994,0.243,0.008,-0.012,0.046,-0.006,-0.031,-0.073,1.352,-9.668,nan,nan
745.061,0.996,0.002,-0.090,0.999,0.055,0.994,0.243,0.008,-0.012,0.046,-0.006,-0.031,-0.073,1.352,-9.668,nan,nan
745.121,0.996,0.001,-0.090,0.998,0.059,0.994,0.243,0.008,-0.012,0.046,-0.006,-0.031,-0.088,1.331,-9.666,nan,nan
745.121,0.996,0.001,-0.090,0.998,0.059,0.994,0.243,0.008,-0.012,0.046,-0.006,-0.031,-0.088,1.331,-9.666,nan,nan
745.161,0.996,0.001,-0.088,0.998,0.059,0.994,0.243,0.008,-0.012,0.046,-0.006,-0.031,-0.087,1.352,-9.652,nan,nan
745.161,0.996,0.001,-0.088,0.998,0.059,0.994,0.243,0.008,-0.012,0.046,-0.006,-0.031,-0.087,1.352,-9.652,nan,nan
745.221,0.996,0.002,-0.088,0.998,0.055,0.995,0.243,0.008,-0.012,0.046,-0.006,-0.031,-0.080,1.368,-9.684,nan,nan
745.241,0.996,0.002,-0.088,0.998,0.055,0.995,0.243,0.008,-0.012,0.046,-0.006,-0.031,-0.088,1.348,-9.647,nan,nan
745.261,0.996,0.001,-0.086,0.998,0.058,0.995,0.285,0.004,-0.024,-0.026,-0.018,-0.092,-0.078,1.358,-9.657,nan,nan
745.261,0.996,0.001,-0.086,0.998,0.058,0.995,0.285,0.004,-0.024,-0.026,-0.018,-0.092,-0.078,1.358,-9.657,nan,nan
745.321,0.996,0.001,-0.085,0.998,0.056,0.995,0.285,0.004,-0.024,-0.026,-0.018,-0.092,-0.080,1.352,-9.668,nan,nan
745.361,0.996,0.002,-0.087,0.998,0.055,0.995,0.285,0.004,-0.024,-0.026,-0.018,-0.092,-0.088,1.339,-9.618,nan,nan
745.361,0.996,0.002,-0.087,0.998,0.055,0.995,0.285,0.004,-0.024,-0.026,-0.018,-0.092,-0.088,1.339,-9.618,nan,nan
745.361,0.996,0.002,-0.087,0.998,0.055,0.995,0.285,0.004,-0.024,-0.026,-0.018,-0.092,-0.088,1.339,-9.618,nan,nan
745.421,0.996,0.001,-0.087,0.998,0.058,0.995,0.285,0.004,-0.024,-0.026,-0.018,-0.092,-0.053,1.342,-9.650,nan,nan
745.421,0.996,0.001,-0.087,0.998,0.058,0.995,0.285,0.004,-0.024,-0.026,-0.018,-0.092,-0.053,1.342,-9.650,nan,nan
745.461,0.996,0.001,-0.085,0.999,0.053,0.995,0.322,-0.002,-0.051,-0.012,-0.004,-0.043,-0.109,1.351,-9.642,nan,nan
745.461,0.996,0.001,-0.085,0.999,0.053,0.995,0.322,-0.002,-0.051,-0.012,-0.004,-0.043,-0.109,1.351,-9.642,nan,nan
745.521,0.996,0.001,-0.087,0.998,0.056,0.995,0.322,-0.002,-0.051,-0.012,-0.004,-0.043,-0.064,1.335,-9.632,nan,nan
745.521,0.996,0.001,-0.087,0.998,0.056,0.995,0.322,-0.002,-0.051,-0.012,-0.004,-0.043,-0.064,1.335,-9.632,nan,nan
745.561,0.996,0.002,-0.090,0.999,0.054,0.994,0.322,-0.002,-0.051,-0.012,-0.004,-0.043,-0.092,1.332,-9.614,nan,nan
745.561,0.996,0.002,-0.090,0.999,0.054,0.994,0.322,-0.002,-0.051,-0.012,-0.004,-0.043,-0.092,1.332,-9.614,nan,nan
745.621,0.996,0.002,-0.087,0.999,0.052,0.995,0.322,-0.002,-0.051,-0.012,-0.004,-0.043,-0.099,1.362,-9.635,nan,nan
745.621,0.996,0.002,-0.087,0.999,0.052,0.995,0.322,-0.002,-0.051,-0.012,-0.004,-0.043,-0.099,1.362,-9.635,nan,nan
745.661,0.996,0.002,-0.089,0.998,0.055,0.995,0.368,-0.007,-0.072,0.067,0.016,-0.101,-0.091,1.364,-9.626,nan,nan
745.661,0.996,0.002,-0.089,0.998,0.055,0.995,0.368,-0.007,-0.072,0.067,0.016,-0.101,-0.091,1.364,-9.626,nan,nan
745.721,0.996,0.002,-0.089,0.998,0.055,0.994,0.368,-0.007,-0.072,0.067,0.016,-0.101,-0.087,1.348,-9.619,nan,nan
745.721,0.996,0.002,-0.089,0.998,0.055,0.994,0.368,-0.007,-0.072,0.067,0.016,-0.101,-0.087,1.348,-9.619,nan,nan
745.781,0.996,0.001,-0.085,0.998,0.055,0.995,0.368,-0.007,-0.072,0.067,0.016,-0.101,-0.078,1.314,-9.641,nan,nan
745.781,0.996,0.001,-0.085,0.998,0.055,0.995,0.368,-0.007,-0.072,0.067,0.016,-0.101,-0.078,1.314,-9.641,nan,nan
745.821,0.996,0.002,-0.090,0.998,0.055,0.994,0.368,-0.007,-0.072,0.067,0.016,-0.101,-0.079,1.343,-9.640,nan,nan
745.821,0.996,0.002,-0.090,0.998,0.055,0.994,0.368,-0.007,-0.072,0.067,0.016,-0.101,-0.079,1.343,-9.640,nan,nan
745.881,0.996,0.002,-0.092,0.999,0.053,0.994,0.417,-0.001,-0.104,-0.024,0.018,-0.035,-0.092,1.336,-9.651,nan,nan
745.921,0.996,0.001,-0.085,0.998,0.056,0.995,0.417,-0.001,-0.104,-0.024,0.018,-0.035,-0.081,1.341,-9.678,nan,nan
745.921,0.996,0.001,-0.085,0.998,0.056,0.995,0.417,-0.001,-0.104,-0.024,0.018,-0.035,-0.081,1.341,-9.678,nan,nan
745.921,0.996,0.001,-0.085,0.998,0.056,0.995,0.417,-0.001,-0.104,-0.024,0.018,-0.035,-0.081,1.341,-9.678,nan,nan
745.981,0.996,0.001,-0.087,0.998,0.059,0.994,0.417,-0.001,-0.104,-0.024,0.018,-0.035,-0.075,1.339,-9.656,nan,nan
745.981,0.996,0.001,-0.087,0.998,0.059,0.994,0.417,-0.001,-0.104,-0.024,0.018,-0.035,-0.075,1.339,-9.656,nan,nan
746.021,0.996,0.002,-0.090,0.999,0.052,0.995,0.417,-0.001,-0.104,-0.024,0.018,-0.035,-0.073,1.340,-9.640,nan,nan
746.021,0.996,0.002,-0.090,0.999,0.052,0.995,0.417,-0.001,-0.104,-0.024,0.018,-0.035,-0.073,1.340,-9.640,nan,nan
746.081,0.996,0.002,-0.088,0.998,0.056,0.994,0.457,0.004,-0.117,-0.044,-0.016,-0.016,-0.082,1.335,-9.651,nan,nan
746.081,0.996,0.002,-0.088,0.998,0.056,0.994,0.457,0.004,-0.117,-0.044,-0.016,-0.016,-0.082,1.335,-9.651,nan,nan
746.121,0.996,0.002,-0.088,0.999,0.055,0.995,0.457,0.004,-0.117,-0.044,-0.016,-0.016,-0.081,1.336,-9.636,nan,nan
746.121,0.996,0.002,-0.088,0.999,0.055,0.995,0.457,0.004,-0.117,-0.044,-0.016,-0.016,-0.081,1.336,-9.636,nan,nan
746.181,0.996,0.002,-0.087,0.999,0.053,0.995,0.457,0.004,-0.117,-0.044,-0.016,-0.016,-0.078,1.330,-9.629,nan,nan
746.221,0.996,0.002,-0.087,0.999,0.052,0.995,0.457,0.004,-0.117,-0.044,-0.016,-0.016,-0.097,1.344,-9.686,nan,nan
746.221,0.996,0.002,-0.087,0.999,0.052,0.995,0.457,0.004,-0.117,-0.044,-0.016,-0.016,-0.097,1.344,-9.686,nan,nan
746.221,0.996,0.002,-0.087,0.999,0.052,0.995,0.457,0.004,-0.117,-0.044,-0.016,-0.016,-0.097,1.344,-9.686,nan,nan
746.281,0.996,0.002,-0.088,0.998,0.055,0.995,0.507,-0.000,-0.148,0.010,0.012,-0.008,-0.077,1.348,-9.647,nan,nan
746.281,0.996,0.002,-0.088,0.998,0.055,0.995,0.507,-0.000,-0.148,0.010,0.012,-0.008,-0.077,1.348,-9.647,nan,nan
746.341,0.996,0.001,-0.087,0.998,0.056,0.995,0.507,-0.000,-0.148,0.010,0.012,-0.008,-0.079,1.328,-9.646,nan,nan
746.381,0.996,0.002,-0.089,0.998,0.057,0.994,0.507,-0.000,-0.148,0.010,0.012,-0.008,-0.091,1.338,-9.649,nan,nan
746.381,0.996,0.002,-0.089,0.998,0.057,0.994,0.507,-0.000,-0.148,0.010,0.012,-0.008,-0.091,1.338,-9.649,nan,nan
