timestamp,R00,R01,R02,R11,R12,R22,pos_N,pos_E,pos_D,vel_N,vel_E,vel_D,accel_x,accel_y,accel_z,pos_uncert,vel_uncert
5931.601,0.997,-0.065,-0.051,0.973,0.219,0.974,0.000,0.000,-0.000,-0.058,0.088,0.047,-3.376,0.763,-9.098,nan,nan
5931.601,0.997,-0.065,-0.051,0.973,0.219,0.974,0.000,0.000,-0.000,-0.058,0.088,0.047,-3.376,0.763,-9.098,nan,nan
5931.601,0.997,-0.065,-0.051,0.973,0.219,0.974,0.000,0.000,-0.000,-0.058,0.088,0.047,-3.376,0.763,-9.098,nan,nan
5931.661,0.997,-0.064,-0.047,0.973,0.217,0.975,0.000,0.000,-0.000,-0.058,0.088,0.047,-3.382,0.779,-9.086,nan,nan
5931.661,0.997,-0.064,-0.047,0.973,0.217,0.975,0.000,0.000,-0.000,-0.058,0.088,0.047,-3.382,0.779,-9.086,nan,nan
5931.701,0.996,-0.064,-0.054,0.974,0.215,0.975,0.000,0.000,-0.000,-0.058,0.088,0.047,-3.371,0.791,-9.084,nan,nan
5931.701,0.996,-0.064,-0.054,0.974,0.215,0.975,0.000,0.000,-0.000,-0.058,0.088,0.047,-3.371,0.791,-9.084,nan,nan
5931.761,0.996,-0.065,-0.056,0.973,0.217,0.975,-0.031,0.050,-0.072,-0.049,0.048,-0.041,-3.371,0.783,-9.118,nan,nan
5931.761,0.996,-0.065,-0.056,0.973,0.217,0.975,-0.031,0.050,-0.072,-0.049,0.048,-0.041,-3.371,0.783,-9.118,nan,nan
5931.821,0.997,-0.063,-0.044,0.974,0.215,0.976,-0.031,0.050,-0.072,-0.049,0.048,-0.041,-3.384,0.803,-9.112,nan,nan
5931.821,0.997,-0.063,-0.044,0.974,0.215,0.976,-0.031,0.050,-0.072,-0.049,0.048,-0.041,-3.384,0.803,-9.112,nan,nan
5931.861,0.997,-0.065,-0.050,0.973,0.219,0.974,-0.031,0.050,-0.072,-0.049,0.048,-0.041,-3.375,0.771,-9.058,nan,nan
5931.861,0.997,-0.065,-0.050,0.973,0.219,0.974,-0.031,0.050,-0.072,-0.049,0.048,-0.041,-3.375,0.771,-9.058,nan,nan
5931.921,0.997,-0.065,-0.051,0.973,0.219,0.974,-0.031,0.050,-0.072,-0.049,0.048,-0.041,-3.373,0.776,-9.108,nan,nan
