timestamp,R00,R01,R02,R11,R12,R22,pos_N,pos_E,pos_D,vel_N,vel_E,vel_D,accel_x,accel_y,accel_z,pos_uncert,vel_uncert
5131.001,0.997,-0.066,-0.050,0.972,0.224,0.973,0.000,0.000,-0.000,0.060,-0.077,-0.082,-3.391,0.833,-9.115,nan,nan
5131.001,0.997,-0.066,-0.050,0.972,0.224,0.973,0.000,0.000,-0.000,0.060,-0.077,-0.082,-3.391,0.833,-9.115,nan,nan
5131.001,0.997,-0.066,-0.050,0.972,0.224,0.973,0.000,0.000,-0.000,0.060,-0.077,-0.082,-3.391,0.833,-9.115,nan,nan
5131.041,0.997,-0.067,-0.049,0.971,0.226,0.973,0.000,0.000,-0.000,0.060,-0.077,-0.082,-3.385,0.856,-9.082,nan,nan
5131.041,0.997,-0.067,-0.049,0.971,0.226,0.973,0.000,0.000,-0.000,0.060,-0.077,-0.082,-3.385,0.856,-9.082,nan,nan
5131.101,0.996,-0.067,-0.052,0.971,0.226,0.973,0.000,0.000,-0.000,0.060,-0.077,-0.082,-3.368,0.817,-9.074,nan,nan
5131.101,0.996,-0.067,-0.052,0.971,0.226,0.973,0.000,0.000,-0.000,0.060,-0.077,-0.082,-3.368,0.817,-9.074,nan,nan
5131.141,0.996,-0.066,-0.053,0.972,0.221,0.974,0.000,0.000,-0.000,0.060,-0.077,-0.082,-3.372,0.862,-9.102,nan,nan
5131.141,0.996,-0.066,-0.053,0.972,0.221,0.974,0.000,0.000,-0.000,0.060,-0.077,-0.082,-3.372,0.862,-9.102,nan,nan
5131.201,0.997,-0.066,-0.042,0.971,0.226,0.973,-0.023,0.000,0.045,-0.136,0.170,0.093,-3.366,0.858,-9.077,nan,nan
5131.201,0.997,-0.066,-0.042,0.971,0.226,0.973,-0.023,0.000,0.045,-0.136,0.170,0.093,-3.366,0.858,-9.077,nan,nan
5131.241,0.996,-0.068,-0.055,0.970,0.228,0.972,-0.023,0.000,0.045,-0.136,0.170,0.093,-3.365,0.840,-9.092,nan,nan
5131.241,0.996,-0.068,-0.055,0.970,0.228,0.972,-0.023,0.000,0.045,-0.136,0.170,0.093,-3.365,0.840,-9.092,nan,nan
5131.241,0.996,-0.068,-0.055,0.970,0.228,0.972,-0.023,0.000,0.045,-0.136,0.170,0.093,-3.365,0.840,-9.092,nan,nan
5131.301,0.997,-0.066,-0.051,0.972,0.223,0.973,-0.023,0.000,0.045,-0.136,0.170,0.093,-3.394,0.772,-9.083,nan,nan
5131.301,0.997,-0.066,-0.051,0.972,0.223,0.973,-0.023,0.000,0.045,-0.136,0.170,0.093,-3.394,0.772,-9.083,nan,nan
5131.341,0.996,-0.067,-0.055,0.972,0.224,0.973,-0.023,0.000,0.045,-0.136,0.170,0.093,-3.368,0.864,-9.122,nan,nan
5131.341,0.996,-0.067,-0.055,0.972,0.224,0.973,-0.023,0.000,0.045,-0.136,0.170,0.093,-3.368,0.864,-9.122,nan,nan
5131.401,0.997,-0.066,-0.045,0.971,0.226,0.973,-0.050,0.030,0.087,-0.015,0.038,-0.049,-3.406,0.836,-9.103,nan,nan
5131.401,0.997,-0.066,-0.045,0.971,0.226,0.973,-0.050,0.030,0.087,-0.015,0.038,-0.049,-3.406,0.836,-9.103,nan,nan
5131.441,0.996,-0.068,-0.063,0.972,0.223,0.973,-0.050,0.030,0.087,-0.015,0.038,-0.049,-3.363,0.841,-9.089,nan,nan
5131.441,0.996,-0.068,-0.063,0.972,0.223,0.973,-0.050,0.030,0.087,-0.015,0.038,-0.049,-3.363,0.841,-9.089,nan,nan
5131.501,0.996,-0.068,-0.053,0.970,0.230,0.972,-0.050,0.030,0.087,-0.015,0.038,-0.049,-3.385,0.863,-9.073,nan,nan
5131.501,0.996,-0.068,-0.053,0.970,0.230,0.972,-0.050,0.030,0.087,-0.015,0.038,-0.049,-3.385,0.863,-9.073,nan,nan
5131.501,0.996,-0.068,-0.053,0.970,0.230,0.972,-0.050,0.030,0.087,-0.015,0.038,-0.049,-3.385,0.863,-9.073,nan,nan
5131.561,0.997,-0.067,-0.050,0.971,0.226,0.973,-0.063,0.053,0.148,0.032,-0.017,-0.071,-3.375,0.820,-9.085,nan,nan
5131.561,0.997,-0.067,-0.050,0.971,0.226,0.973,-0.063,0.053,0.148,0.032,-0.017,-0.071,-3.375,0.820,-9.085,nan,nan
5131.601,0.997,-0.066,-0.042,0.971,0.229,0.973,-0.063,0.053,0.148,0.032,-0.017,-0.071,-3.353,0.832,-9.076,nan,nan
5131.601,0.997,-0.066,-0.042,0.971,0.229,0.973,-0.063,0.053,0.148,0.032,-0.017,-0.071,-3.353,0.832,-9.076,nan,nan
5131.661,0.996,-0.067,-0.054,0.972,0.224,0.973,-0.063,0.053,0.148,0.032,-0.017,-0.071,-3.371,0.833,-9.088,nan,nan
5131.661,0.996,-0.067,-0.054,0.972,0.224,0.973,-0.063,0.053,0.148,0.032,-0.017,-0.071,-3.371,0.833,-9.088,nan,nan
5131.701,0.997,-0.066,-0.051,0.972,0.221,0.974,-0.063,0.053,0.148,0.032,-0.017,-0.071,-3.392,0.837,-9.099,nan,nan
5131.701,0.997,-0.066,-0.051,0.972,0.221,0.974,-0.063,0.053,0.148,0.032,-0.017,-0.071,-3.392,0.837,-9.099,nan,nan
5131.761,0.997,-0.066,-0.045,0.971,0.226,0.973,-0.077,0.086,0.208,0.046,0.045,-0.055,-3.381,0.856,-9.086,nan,nan
5131.761,0.997,-0.066,-0.045,0.971,0.226,0.973,-0.077,0.086,0.208,0.046,0.045,-0.055,-3.381,0.856,-9.086,nan,nan
5131.801,0.997,-0.067,-0.046,0.971,0.229,0.972,-0.077,0.086,0.208,0.046,0.045,-0.055,-3.377,0.811,-9.064,nan,nan
5131.801,0.997,-0.067,-0.046,0.971,0.229,0.972,-0.077,0.086,0.208,0.046,0.045,-0.055,-3.377,0.811,-9.064,nan,nan
5131.801,0.997,-0.067,-0.046,0.971,0.229,0.972,-0.077,0.086,0.208,0.046,0.045,-0.055,-3.377,0.811,-9.064,nan,nan
5131.861,0.997,-0.066,-0.049,0.972,0.221,0.974,-0.077,0.086,0.208,0.046,0.045,-0.055,-3.389,0.827,-9.080,nan,nan
5131.861,0.997,-0.066,-0.049,0.972,0.221,0.974,-0.077,0.086,0.208,0.046,0.045,-0.055,-3.389,0.827,-9.080,nan,nan
5131.901,0.997,-0.066,-0.045,0.972,0.224,0.974,-0.077,0.086,0.208,0.046,0.045,-0.055,-3.363,0.830,-9.066,nan,nan
5131.901,0.997,-0.066,-0.045,0.972,0.224,0.974,-0.077,0.086,0.208,0.046,0.045,-0.055,-3.363,0.830,-9.066,nan,nan
5131.961,0.996,-0.068,-0.059,0.971,0.225,0.972,-0.118,0.149,0.310,0.007,-0.016,0.003,-3.382,0.822,-9.050,nan,nan
5131.961,0.996,-0.068,-0.059,0.971,0.225,0.972,-0.118,0.149,0.310,0.007,-0.016,0.003,-3.382,0.822,-9.050,nan,nan
5132.001,0.997,-0.066,-0.045,0.972,0.224,0.974,-0.118,0.149,0.310,0.007,-0.016,0.003,-3.407,0.862,-9.091,nan,nan
5132.001,0.997,-0.066,-0.045,0.972,0.224,0.974,-0.118,0.149,0.310,0.007,-0.016,0.003,-3.407,0.862,-9.091,nan,nan
5132.061,0.996,-0.067,-0.057,0.971,0.225,0.973,-0.118,0.149,0.310,0.007,-0.016,0.003,-3.375,0.875,-9.073,nan,nan
5132.061,0.996,-0.067,-0.057,0.971,0.225,0.973,-0.118,0.149,0.310,0.007,-0.016,0.003,-3.375,0.875,-9.073,nan,nan
5132.061,0.996,-0.067,-0.057,0.971,0.225,0.973,-0.118,0.149,0.310,0.007,-0.016,0.003,-3.375,0.875,-9.073,nan,nan
5132.101,0.996,-0.066,-0.054,0.972,0.221,0.974,-0.118,0.149,0.310,0.007,-0.016,0.003,-3.365,0.818,-9.074,nan,nan
5132.101,0.996,-0.066,-0.054,0.972,0.221,0.974,-0.118,0.149,0.310,0.007,-0.016,0.003,-3.365,0.818,-9.074,nan,nan
5132.161,0.996,-0.067,-0.053,0.972,0.224,0.973,-0.166,0.221,0.420,0.070,-0.004,-0.078,-3.381,0.863,-9.106,nan,nan
5132.161,0.996,-0.067,-0.053,0.972,0.224,0.973,-0.166,0.221,0.420,0.070,-0.004,-0.078,-3.381,0.863,-9.106,nan,nan
5132.221,0.997,-0.066,-0.044,0.972,0.224,0.974,-0.166,0.221,0.420,0.070,-0.004,-0.078,-3.379,0.833,-9.094,nan,nan
5132.221,0.997,-0.066,-0.044,0.972,0.224,0.974,-0.166,0.221,0.420,0.070,-0.004,-0.078,-3.379,0.833,-9.094,nan,nan
5132.261,0.997,-0.065,-0.044,0.972,0.222,0.974,-0.166,0.221,0.420,0.070,-0.004,-0.078,-3.389,0.823,-9.111,nan,nan
5132.261,0.997,-0.065,-0.044,0.972,0.222,0.974,-0.166,0.221,0.420,0.070,-0.004,-0.078,-3.389,0.823,-9.111,nan,nan
5132.261,0.997,-0.065,-0.044,0.972,0.222,0.974,-0.166,0.221,0.420,0.070,-0.004,-0.078,-3.389,0.823,-9.111,nan,nan
5132.321,0.996,-0.067,-0.057,0.972,0.223,0.973,-0.166,0.221,0.420,0.070,-0.004,-0.078,-3.377,0.849,-9.107,nan,nan
5132.321,0.996,-0.067,-0.057,0.972,0.223,0.973,-0.166,0.221,0.420,0.070,-0.004,-0.078,-3.377,0.849,-9.107,nan,nan
5132.361,0.997,-0.067,-0.049,0.971,0.226,0.973,-0.205,0.292,0.490,0.022,0.069,-0.046,-3.387,0.843,-9.098,nan,nan
5132.361,0.997,-0.067,-0.049,0.971,0.226,0.973,-0.205,0.292,0.490,0.022,0.069,-0.046,-3.387,0.843,-9.098,nan,nan
5132.421,0.996,-0.068,-0.061,0.971,0.227,0.972,-0.205,0.292,0.490,0.022,0.069,-0.046,-3.372,0.852,-9.085,nan,nan
5132.421,0.996,-0.068,-0.061,0.971,0.227,0.972,-0.205,0.292,0.490,0.022,0.069,-0.046,-3.372,0.852,-9.085,nan,nan
5132.461,0.996,-0.067,-0.051,0.971,0.226,0.973,-0.205,0.292,0.490,0.022,0.069,-0.046,-3.410,0.827,-9.101,nan,nan
5132.461,0.996,-0.067,-0.051,0.971,0.226,0.973,-0.205,0.292,0.490,0.022,0.069,-0.046,-3.410,0.827,-9.101,nan,nan
5132.521,0.996,-0.067,-0.063,0.972,0.221,0.973,-0.205,0.292,0.490,0.022,0.069,-0.046,-3.391,0.932,-9.109,nan,nan
5132.521,0.996,-0.067,-0.063,0.972,0.221,0.973,-0.205,0.292,0.490,0.022,0.069,-0.046,-3.391,0.932,-9.109,nan,nan
