timestamp,R00,R01,R02,R11,R12,R22,pos_N,pos_E,pos_D,vel_N,vel_E,vel_D,accel_x,accel_y,accel_z,pos_uncert,vel_uncert
196.121,1.000,0.001,-0.002,1.000,-0.004,1.000,0.000,0.000,-0.000,-0.015,-0.003,-0.092,0.210,1.174,-9.683,nan,nan
196.121,1.000,0.001,-0.002,1.000,-0.004,1.000,0.000,0.000,-0.000,-0.015,-0.003,-0.092,0.210,1.174,-9.683,nan,nan
196.121,1.000,0.001,-0.002,1.000,-0.004,1.000,0.000,0.000,-0.000,-0.015,-0.003,-0.092,0.210,1.174,-9.683,nan,nan
196.181,1.000,-0.000,0.000,1.000,0.000,1.000,0.000,0.000,-0.000,0.069,-0.013,-0.009,0.221,1.155,-9.694,nan,nan
196.181,1.000,-0.000,0.000,1.000,0.000,1.000,0.000,0.000,-0.000,0.069,-0.013,-0.009,0.221,1.155,-9.694,nan,nan
196.241,1.000,-0.001,0.002,1.000,0.003,1.000,0.000,0.000,-0.000,0.069,-0.013,-0.009,0.212,1.180,-9.675,nan,nan
196.281,1.000,-0.002,0.013,1.000,0.005,1.000,0.000,0.000,-0.000,0.069,-0.013,-0.009,0.238,1.163,-9.658,nan,nan
196.281,1.000,-0.002,0.013,1.000,0.005,1.000,0.000,0.000,-0.000,0.069,-0.013,-0.009,0.238,1.163,-9.658,nan,nan
196.341,1.000,0.000,-0.003,1.000,-0.001,1.000,-0.009,0.004,0.062,-0.033,0.016,-0.081,0.237,1.191,-9.655,nan,nan
196.341,1.000,0.000,-0.003,1.000,-0.001,1.000,-0.009,0.004,0.062,-0.033,0.016,-0.081,0.237,1.191,-9.655,nan,nan
196.381,1.000,-0.000,0.003,1.000,-0.001,1.000,-0.009,0.004,0.062,-0.033,0.016,-0.081,0.231,1.176,-9.681,nan,nan
196.381,1.000,-0.000,0.003,1.000,-0.001,1.000,-0.009,0.004,0.062,-0.033,0.016,-0.081,0.231,1.176,-9.681,nan,nan
196.441,1.000,0.000,0.001,1.000,-0.001,1.000,-0.009,0.004,0.062,-0.033,0.016,-0.081,0.205,1.188,-9.680,nan,nan
196.441,1.000,0.000,0.001,1.000,-0.001,1.000,-0.009,0.004,0.062,-0.033,0.016,-0.081,0.205,1.188,-9.680,nan,nan
196.481,1.000,-0.000,0.002,1.000,0.001,1.000,-0.009,0.004,0.062,-0.033,0.016,-0.081,0.219,1.188,-9.684,nan,nan
