timestamp,R00,R01,R02,R11,R12,R22,pos_N,pos_E,pos_D,vel_N,vel_E,vel_D,accel_x,accel_y,accel_z,pos_uncert,vel_uncert
101.041,0.548,0.226,-0.805,-0.083,0.545,-0.234,0.000,0.000,-0.000,0.033,-0.080,-0.286,-6.362,6.301,0.596,nan,nan
101.041,0.548,0.226,-0.805,-0.083,0.545,-0.234,0.000,0.000,-0.000,0.033,-0.080,-0.286,-6.362,6.301,0.596,nan,nan
101.041,0.548,0.226,-0.805,-0.083,0.545,-0.234,0.000,0.000,-0.000,0.033,-0.080,-0.286,-6.362,6.301,0.596,nan,nan
101.101,0.541,0.245,-0.805,-0.122,0.527,-0.272,-0.007,0.043,0.041,0.008,-0.053,-0.215,-7.870,5.029,1.997,nan,nan
101.141,0.484,0.285,-0.828,-0.103,0.476,-0.298,-0.007,0.043,0.041,0.008,-0.053,-0.215,-5.115,7.854,0.031,nan,nan
101.141,0.484,0.285,-0.828,-0.103,0.476,-0.298,-0.007,0.043,0.041,0.008,-0.053,-0.215,-5.115,7.854,0.031,nan,nan
101.201,0.467,0.307,-0.829,-0.126,0.451,-0.331,-0.007,0.043,0.041,0.008,-0.053,-0.215,-6.127,6.021,2.040,nan,nan
101.201,0.467,0.307,-0.829,-0.126,0.451,-0.331,-0.007,0.043,0.041,0.008,-0.053,-0.215,-6.127,6.021,2.040,nan,nan
101.241,0.499,0.300,-0.813,-0.177,0.467,-0.348,-0.007,0.043,0.041,0.008,-0.053,-0.215,-6.750,7.333,0.700,nan,nan
101.241,0.499,0.300,-0.813,-0.177,0.467,-0.348,-0.007,0.043,0.041,0.008,-0.053,-0.215,-6.750,7.333,0.700,nan,nan
101.301,0.454,0.330,-0.828,-0.156,0.426,-0.365,0.029,0.043,-0.030,0.673,-0.287,-0.276,-7.485,7.652,0.420,nan,nan
101.301,0.454,0.330,-0.828,-0.156,0.426,-0.365,0.029,0.043,-0.030,0.673,-0.287,-0.276,-7.485,7.652,0.420,nan,nan
101.341,0.492,0.315,-0.811,-0.201,0.450,-0.373,0.029,0.043,-0.030,0.673,-0.287,-0.276,-5.879,6.863,-0.099,nan,nan
101.341,0.492,0.315,-0.811,-0.201,0.450,-0.373,0.029,0.043,-0.030,0.673,-0.287,-0.276,-5.879,6.863,-0.099,nan,nan
101.401,0.506,0.310,-0.805,-0.219,0.458,-0.378,0.029,0.043,-0.030,0.673,-0.287,-0.276,-7.011,6.688,1.308,nan,nan
101.401,0.506,0.310,-0.805,-0.219,0.458,-0.378,0.029,0.043,-0.030,0.673,-0.287,-0.276,-7.011,6.688,1.308,nan,nan
101.461,0.458,0.357,-0.814,-0.228,0.400,-0.421,0.029,0.043,-0.030,0.673,-0.287,-0.276,-7.389,7.413,0.746,nan,nan
101.461,0.458,0.357,-0.814,-0.228,0.400,-0.421,0.029,0.043,-0.030,0.673,-0.287,-0.276,-7.389,7.413,0.746,nan,nan
101.501,0.448,0.365,-0.816,-0.227,0.388,-0.428,0.083,0.041,-0.160,0.478,-0.113,-0.175,-6.712,8.472,0.237,nan,nan
101.501,0.448,0.365,-0.816,-0.227,0.388,-0.428,0.083,0.041,-0.160,0.478,-0.113,-0.175,-6.712,8.472,0.237,nan,nan
101.561,0.472,0.358,-0.806,-0.261,0.399,-0.438,0.083,0.041,-0.160,0.478,-0.113,-0.175,-7.555,7.767,1.323,nan,nan
101.561,0.472,0.358,-0.806,-0.261,0.399,-0.438,0.083,0.041,-0.160,0.478,-0.113,-0.175,-7.555,7.767,1.323,nan,nan
101.601,0.515,0.327,-0.793,-0.284,0.437,-0.425,0.083,0.041,-0.160,0.478,-0.113,-0.175,-8.075,8.154,3.297,nan,nan
101.601,0.515,0.327,-0.793,-0.284,0.437,-0.425,0.083,0.041,-0.160,0.478,-0.113,-0.175,-8.075,8.154,3.297,nan,nan
101.661,0.487,0.342,-0.804,-0.255,0.419,-0.422,0.083,0.041,-0.160,0.478,-0.113,-0.175,-6.730,7.113,4.159,nan,nan
101.661,0.487,0.342,-0.804,-0.255,0.419,-0.422,0.083,0.041,-0.160,0.478,-0.113,-0.175,-6.730,7.113,4.159,nan,nan
101.701,0.508,0.316,-0.801,-0.239,0.451,-0.393,0.360,0.074,0.181,1.062,-0.229,-0.427,-6.098,6.212,2.373,nan,nan
101.701,0.508,0.316,-0.801,-0.239,0.451,-0.393,0.360,0.074,0.181,1.062,-0.229,-0.427,-6.098,6.212,2.373,nan,nan
101.761,0.491,0.316,-0.812,-0.200,0.449,-0.373,0.360,0.074,0.181,1.062,-0.229,-0.427,-2.996,7.362,2.581,nan,nan
101.761,0.491,0.316,-0.812,-0.200,0.449,-0.373,0.360,0.074,0.181,1.062,-0.229,-0.427,-2.996,7.362,2.581,nan,nan
101.801,0.446,0.332,-0.831,-0.144,0.423,-0.361,0.360,0.074,0.181,1.062,-0.229,-0.427,-6.273,7.790,3.810,nan,nan
101.801,0.446,0.332,-0.831,-0.144,0.423,-0.361,0.360,0.074,0.181,1.062,-0.229,-0.427,-6.273,7.790,3.810,nan,nan
101.861,0.397,0.339,-0.853,-0.068,0.399,-0.337,0.360,0.074,0.181,1.062,-0.229,-0.427,-5.470,7.013,4.318,nan,nan
101.861,0.397,0.339,-0.853,-0.068,0.399,-0.337,0.360,0.074,0.181,1.062,-0.229,-0.427,-5.470,7.013,4.318,nan,nan
101.901,0.480,0.315,-0.819,-0.173,0.448,-0.359,0.600,0.134,0.426,0.518,-0.010,0.005,-7.565,6.798,-1.026,nan,nan
101.901,0.480,0.315,-0.819,-0.173,0.448,-0.359,0.600,0.134,0.426,0.518,-0.010,0.005,-7.565,6.798,-1.026,nan,nan
101.961,0.492,0.309,-0.814,-0.186,0.456,-0.361,0.600,0.134,0.426,0.518,-0.010,0.005,-7.419,6.456,0.137,nan,nan
101.961,0.492,0.309,-0.814,-0.186,0.456,-0.361,0.600,0.134,0.426,0.518,-0.010,0.005,-7.419,6.456,0.137,nan,nan
102.021,0.496,0.312,-0.811,-0.200,0.454,-0.369,0.600,0.134,0.426,0.518,-0.010,0.005,-5.298,5.904,1.679,nan,nan
102.021,0.496,0.312,-0.811,-0.200,0.454,-0.369,0.600,0.134,0.426,0.518,-0.010,0.005,-5.298,5.904,1.679,nan,nan
102.061,0.495,0.343,-0.798,-0.277,0.417,-0.434,0.600,0.134,0.426,0.518,-0.010,0.005,-8.738,6.581,2.372,nan,nan
102.061,0.495,0.343,-0.798,-0.277,0.417,-0.434,0.600,0.134,0.426,0.518,-0.010,0.005,-8.738,6.581,2.372,nan,nan
102.121,0.342,0.467,-0.815,-0.240,0.255,-0.520,0.832,0.192,0.800,0.854,-0.154,-0.184,-7.084,7.767,1.158,nan,nan
102.121,0.342,0.467,-0.815,-0.240,0.255,-0.520,0.832,0.192,0.800,0.854,-0.154,-0.184,-7.084,7.767,1.158,nan,nan
102.161,0.241,0.523,-0.818,-0.180,0.170,-0.550,0.832,0.192,0.800,0.854,-0.154,-0.184,-10.946,7.321,-0.624,nan,nan
102.161,0.241,0.523,-0.818,-0.180,0.170,-0.550,0.832,0.192,0.800,0.854,-0.154,-0.184,-10.946,7.321,-0.624,nan,nan
102.221,-0.158,0.558,-0.814,0.200,-0.053,-0.578,0.832,0.192,0.800,0.854,-0.154,-0.184,-6.968,8.374,2.101,nan,nan
102.221,-0.158,0.558,-0.814,0.200,-0.053,-0.578,0.832,0.192,0.800,0.854,-0.154,-0.184,-6.968,8.374,2.101,nan,nan
102.261,-0.247,0.531,-0.810,0.300,-0.093,-0.578,0.832,0.192,0.800,0.854,-0.154,-0.184,-8.094,7.379,1.536,nan,nan
102.261,-0.247,0.531,-0.810,0.300,-0.093,-0.578,0.832,0.192,0.800,0.854,-0.154,-0.184,-8.094,7.379,1.536,nan,nan
102.321,-0.289,0.492,-0.822,0.372,-0.102,-0.561,0.953,0.229,0.637,0.860,0.600,0.170,-7.351,6.469,4.263,nan,nan
