timestamp,R00,R01,R02,R11,R12,R22,pos_N,pos_E,pos_D,vel_N,vel_E,vel_D,accel_x,accel_y,accel_z,pos_uncert,vel_uncert
60.881,0.558,-0.194,-0.807,0.980,-0.131,0.576,0.000,0.000,0.000,-0.012,-0.003,-0.007,-9.462,3.217,1.030,4.456,0.822
60.881,0.554,-0.194,-0.809,0.980,-0.132,0.573,0.000,0.000,0.000,-0.026,-0.004,-0.007,-9.462,3.217,1.030,3.382,0.783
60.881,0.553,-0.195,-0.810,0.980,-0.132,0.571,0.000,0.000,0.000,-0.037,-0.005,-0.006,-9.462,3.217,1.030,2.835,0.750
60.941,0.530,-0.182,-0.828,0.982,-0.126,0.546,-0.001,-0.001,-0.001,-0.398,0.072,0.103,-9.641,3.015,0.562,2.489,0.822
60.941,0.533,-0.186,-0.825,0.981,-0.129,0.550,-0.000,-0.001,-0.001,-0.378,0.063,0.095,-9.641,3.015,0.562,2.245,0.783
60.981,0.512,-0.184,-0.839,0.982,-0.131,0.528,-0.020,-0.007,-0.001,-0.575,0.097,0.152,-9.710,2.785,0.489,2.062,0.817
60.981,0.514,-0.188,-0.837,0.981,-0.134,0.530,-0.024,-0.014,-0.004,-0.535,0.083,0.141,-9.709,2.785,0.488,1.917,0.779
61.041,0.493,-0.186,-0.850,0.982,-0.137,0.508,-0.051,-0.016,-0.000,-0.791,0.140,0.191,-9.929,2.787,-0.052,1.801,0.848
61.041,0.492,-0.191,-0.850,0.981,-0.143,0.508,-0.048,-0.021,-0.003,-0.726,0.122,0.174,-9.929,2.786,-0.053,1.702,0.805
61.081,0.484,-0.194,-0.853,0.980,-0.147,0.500,-0.068,-0.021,-0.000,-0.855,0.147,0.211,-9.607,2.567,0.167,1.620,0.837
61.081,0.482,-0.198,-0.853,0.979,-0.152,0.498,-0.063,-0.025,-0.003,-0.786,0.129,0.192,-9.607,2.566,0.166,1.547,0.796
61.141,0.495,-0.205,-0.844,0.978,-0.158,0.512,-0.096,-0.023,0.004,-1.002,0.193,0.244,-9.780,2.920,0.132,1.488,0.862
61.141,0.495,-0.207,-0.844,0.978,-0.160,0.512,-0.086,-0.027,0.000,-0.915,0.170,0.222,-9.779,2.919,0.130,1.431,0.817
61.181,0.509,-0.211,-0.834,0.977,-0.161,0.528,-0.113,-0.029,0.002,-1.015,0.201,0.275,-9.217,2.657,0.410,1.384,0.847
61.181,0.509,-0.210,-0.835,0.977,-0.160,0.527,-0.107,-0.037,-0.004,-0.920,0.185,0.252,-9.216,2.657,0.408,1.337,0.804
61.181,0.508,-0.210,-0.835,0.977,-0.160,0.526,-0.103,-0.043,-0.008,-0.842,0.172,0.232,-9.216,2.656,0.406,1.295,0.768
61.241,0.529,-0.218,-0.820,0.975,-0.159,0.550,-0.140,-0.040,-0.001,-1.060,0.221,0.343,-9.045,2.596,0.688,1.265,0.841
61.241,0.526,-0.216,-0.823,0.976,-0.158,0.546,-0.131,-0.047,-0.007,-0.961,0.204,0.313,-9.045,2.595,0.686,1.229,0.799
