timestamp,R00,R01,R02,R11,R12,R22,pos_N,pos_E,pos_D,vel_N,vel_E,vel_D,accel_x,accel_y,accel_z,pos_uncert,vel_uncert
101.041,0.554,0.216,-0.804,-0.069,0.553,-0.218,0.000,0.000,0.000,0.004,-0.003,-0.002,-6.362,6.301,0.596,1.698,0.854
101.041,0.551,0.221,-0.805,-0.076,0.549,-0.226,0.000,0.000,0.000,0.004,-0.005,-0.009,-6.362,6.301,0.596,1.213,0.843
101.041,0.550,0.223,-0.805,-0.078,0.548,-0.228,0.000,0.000,0.000,0.005,-0.007,-0.016,-6.362,6.301,0.596,0.993,0.832
101.101,0.541,0.243,-0.805,-0.108,0.532,-0.263,-0.001,0.012,0.010,-0.277,-0.349,0.216,-7.860,5.041,1.998,0.918,0.850
101.141,0.512,0.262,-0.818,-0.115,0.501,-0.283,-0.010,0.010,0.024,-0.291,-0.541,0.281,-5.080,7.888,0.039,0.856,0.885
101.141,0.506,0.267,-0.820,-0.112,0.495,-0.287,-0.009,0.017,0.026,-0.278,-0.528,0.266,-5.057,7.908,0.045,0.768,0.871
101.201,0.493,0.276,-0.825,-0.129,0.476,-0.304,-0.020,-0.001,0.041,-0.439,-0.796,0.433,-6.011,6.119,2.067,0.788,0.958
101.201,0.487,0.283,-0.826,-0.128,0.471,-0.310,-0.017,0.008,0.039,-0.418,-0.773,0.411,-5.958,6.161,2.080,0.717,0.940
101.241,0.484,0.294,-0.825,-0.139,0.464,-0.324,-0.028,-0.008,0.051,-0.468,-0.992,0.481,-6.496,7.529,0.764,0.729,1.006
101.241,0.487,0.295,-0.822,-0.146,0.465,-0.329,-0.023,0.002,0.048,-0.452,-0.960,0.459,-6.417,7.581,0.787,0.672,0.985
101.301,0.474,0.307,-0.825,-0.158,0.447,-0.345,-0.031,-0.034,0.054,-0.479,-1.338,0.543,-7.001,8.003,0.490,0.732,1.103
101.301,0.470,0.313,-0.826,-0.157,0.443,-0.350,-0.018,-0.018,0.039,-0.423,-1.292,0.505,-6.866,8.096,0.476,0.674,1.075
101.341,0.474,0.311,-0.824,-0.170,0.442,-0.355,-0.019,-0.046,0.041,-0.375,-1.463,0.580,-5.089,7.416,-0.042,0.702,1.148
101.341,0.477,0.313,-0.822,-0.175,0.443,-0.358,-0.009,-0.030,0.028,-0.327,-1.408,0.541,-4.936,7.512,-0.041,0.650,1.117
101.401,0.486,0.309,-0.817,-0.186,0.449,-0.361,-0.012,-0.078,0.039,-0.370,-1.681,0.637,-5.849,7.458,1.386,0.722,1.237
101.401,0.490,0.310,-0.815,-0.192,0.451,-0.364,-0.001,-0.054,0.025,-0.315,-1.605,0.589,-5.657,7.562,1.405,0.666,1.199
101.461,0.477,0.331,-0.814,-0.201,0.433,-0.386,-0.003,-0.104,0.038,-0.302,-1.882,0.642,-5.779,8.407,0.889,0.733,1.313
101.461,0.472,0.337,-0.815,-0.205,0.426,-0.394,0.007,-0.073,0.023,-0.239,-1.785,0.589,-5.561,8.508,0.928,0.674,1.266
101.501,0.460,0.345,-0.818,-0.207,0.412,-0.401,0.017,-0.101,0.007,-0.161,-1.901,0.568,-4.632,9.654,0.499,0.705,1.323
101.501,0.457,0.349,-0.818,-0.210,0.407,-0.406,0.030,-0.071,-0.020,-0.117,-1.791,0.518,-4.417,9.725,0.566,0.652,1.276
101.561,0.472,0.339,-0.814,-0.224,0.417,-0.404,0.038,-0.124,-0.026,-0.105,-1.998,0.524,-4.990,9.092,1.744,0.726,1.375
101.561,0.472,0.343,-0.812,-0.230,0.414,-0.411,0.049,-0.089,-0.050,-0.063,-1.874,0.475,-4.764,9.148,1.821,0.669,1.322
101.601,0.482,0.327,-0.813,-0.240,0.422,-0.402,0.057,-0.116,-0.057,-0.113,-1.945,0.419,-5.036,9.582,3.875,0.702,1.366
101.601,0.488,0.328,-0.809,-0.247,0.426,-0.406,0.065,-0.083,-0.075,-0.075,-1.825,0.378,-4.827,9.618,3.943,0.650,1.315
101.661,0.495,0.328,-0.804,-0.253,0.431,-0.409,0.070,-0.135,-0.077,-0.187,-1.862,0.345,-3.243,8.618,4.871,0.725,1.398
101.661,0.494,0.331,-0.804,-0.252,0.429,-0.412,0.076,-0.098,-0.092,-0.141,-1.739,0.306,-3.043,8.651,4.923,0.668,1.342
101.701,0.501,0.321,-0.804,-0.238,0.443,-0.397,0.127,-0.115,-0.044,-0.083,-1.720,0.332,-2.175,7.812,3.119,0.702,1.374
101.701,0.502,0.321,-0.803,-0.237,0.445,-0.396,0.167,-0.079,-0.017,0.001,-1.615,0.296,-1.980,7.870,3.110,0.650,1.322
101.761,0.484,0.307,-0.819,-0.214,0.436,-0.372,0.211,-0.120,0.026,0.136,-1.479,0.269,1.313,9.076,3.317,0.726,1.390
101.761,0.485,0.309,-0.818,-0.211,0.438,-0.373,0.239,-0.083,0.045,0.206,-1.384,0.233,1.469,9.129,3.320,0.668,1.335
101.801,0.480,0.300,-0.824,-0.181,0.445,-0.350,0.273,-0.093,0.070,0.215,-1.346,0.173,-1.656,9.609,4.550,0.702,1.359
101.801,0.474,0.307,-0.825,-0.173,0.441,-0.352,0.290,-0.062,0.083,0.275,-1.264,0.142,-1.531,9.658,4.552,0.650,1.309
