timestamp,R00,R01,R02,R11,R12,R22,pos_N,pos_E,pos_D,vel_N,vel_E,vel_D,accel_x,accel_y,accel_z,pos_uncert,vel_uncert
8794.261,0.985,-0.170,-0.032,0.773,0.615,0.788,0.000,0.000,0.000,-0.001,0.001,0.001,-0.634,3.598,-9.064,1.698,0.854
8794.261,0.985,-0.171,-0.032,0.771,0.618,0.786,0.000,0.000,0.000,-0.001,0.001,0.003,-0.634,3.598,-9.064,1.213,0.843
8794.321,0.984,-0.173,-0.034,0.766,0.623,0.781,-0.000,0.000,0.000,-0.054,-0.171,0.036,-0.591,3.623,-9.042,1.033,0.861
8794.321,0.984,-0.173,-0.035,0.764,0.626,0.779,0.000,0.000,0.000,-0.053,-0.167,0.037,-0.589,3.626,-9.039,0.887,0.849
8794.361,0.984,-0.174,-0.034,0.764,0.626,0.779,0.002,-0.007,-0.005,-0.088,-0.278,0.057,-0.603,3.636,-9.018,0.837,0.882
8794.361,0.984,-0.174,-0.033,0.764,0.627,0.779,0.005,-0.007,-0.009,-0.087,-0.271,0.054,-0.598,3.647,-9.014,0.753,0.869
8794.421,0.984,-0.174,-0.035,0.762,0.628,0.777,0.003,-0.020,-0.010,-0.137,-0.435,0.085,-0.598,3.657,-8.997,0.779,0.954
8794.421,0.984,-0.174,-0.036,0.761,0.629,0.776,0.005,-0.017,-0.013,-0.133,-0.422,0.081,-0.585,3.682,-8.987,0.710,0.937
8794.461,0.984,-0.174,-0.034,0.762,0.629,0.777,0.003,-0.028,-0.013,-0.163,-0.519,0.098,-0.552,3.722,-8.991,0.724,1.000
8794.461,0.984,-0.174,-0.033,0.762,0.628,0.777,0.005,-0.024,-0.015,-0.158,-0.500,0.092,-0.534,3.756,-8.975,0.668,0.980
8794.521,0.984,-0.175,-0.033,0.762,0.629,0.777,-0.000,-0.044,-0.013,-0.203,-0.641,0.117,-0.512,3.797,-8.950,0.729,1.094
8794.521,0.984,-0.175,-0.032,0.761,0.630,0.776,0.003,-0.037,-0.016,-0.195,-0.614,0.110,-0.484,3.849,-8.925,0.672,1.068
8794.581,0.984,-0.175,-0.031,0.762,0.628,0.777,0.000,-0.060,-0.023,-0.233,-0.736,0.131,-0.444,3.926,-8.892,0.734,1.185
8794.581,0.984,-0.175,-0.031,0.763,0.628,0.778,0.006,-0.051,-0.033,-0.222,-0.698,0.124,-0.406,3.989,-8.855,0.676,1.152
8794.621,0.984,-0.174,-0.030,0.764,0.627,0.778,0.005,-0.065,-0.038,-0.240,-0.754,0.134,-0.360,4.064,-8.788,0.704,1.217
8794.621,0.984,-0.174,-0.029,0.764,0.626,0.779,0.010,-0.056,-0.045,-0.227,-0.713,0.127,-0.321,4.130,-8.749,0.652,1.182
8794.681,0.984,-0.174,-0.027,0.765,0.625,0.780,0.005,-0.079,-0.046,-0.257,-0.799,0.142,-0.276,4.232,-8.729,0.724,1.290
8794.681,0.984,-0.174,-0.026,0.766,0.625,0.780,0.011,-0.066,-0.052,-0.242,-0.750,0.134,-0.232,4.306,-8.684,0.668,1.248
8794.721,0.984,-0.174,-0.031,0.763,0.627,0.778,0.009,-0.079,-0.054,-0.251,-0.782,0.140,-0.154,4.385,-8.630,0.700,1.301
8794.721,0.984,-0.174,-0.034,0.762,0.628,0.777,0.014,-0.067,-0.059,-0.234,-0.735,0.132,-0.113,4.456,-8.587,0.649,1.259
