timestamp,R00,R01,R02,R11,R12,R22,pos_N,pos_E,pos_D,vel_N,vel_E,vel_D,accel_x,accel_y,accel_z,pos_uncert,vel_uncert
101.041,0.554,0.216,-0.804,-0.069,0.553,-0.218,0.000,0.000,0.000,0.004,-0.003,-0.002,-6.362,6.301,0.596,1.698,0.854
101.041,0.551,0.221,-0.805,-0.076,0.549,-0.226,0.000,0.000,0.000,0.004,-0.005,-0.009,-6.362,6.301,0.596,1.213,0.843
101.041,0.550,0.223,-0.805,-0.078,0.548,-0.228,0.000,0.000,0.000,0.005,-0.007,-0.016,-6.362,6.301,0.596,0.993,0.832
101.101,0.541,0.243,-0.805,-0.108,0.532,-0.263,-0.001,0.012,0.010,-0.277,-0.349,0.216,-7.860,5.041,1.998,0.917,0.850
101.141,0.512,0.262,-0.818,-0.115,0.501,-0.283,-0.010,0.010,0.024,-0.291,-0.541,0.281,-5.080,7.888,0.039,0.854,0.885
101.141,0.506,0.267,-0.820,-0.112,0.495,-0.287,-0.009,0.017,0.026,-0.278,-0.528,0.266,-5.057,7.908,0.045,0.766,0.871
101.201,0.493,0.276,-0.825,-0.129,0.476,-0.304,-0.021,-0.001,0.041,-0.439,-0.796,0.433,-6.011,6.119,2.067,0.785,0.958
101.201,0.487,0.283,-0.826,-0.128,0.471,-0.310,-0.017,0.008,0.039,-0.418,-0.773,0.411,-5.958,6.161,2.080,0.715,0.940
101.241,0.484,0.294,-0.825,-0.139,0.464,-0.324,-0.028,-0.009,0.051,-0.468,-0.992,0.481,-6.496,7.529,0.764,0.725,1.006
101.241,0.487,0.295,-0.822,-0.146,0.465,-0.329,-0.023,0.001,0.048,-0.452,-0.960,0.459,-6.417,7.581,0.787,0.668,0.985
101.301,0.474,0.307,-0.825,-0.158,0.447,-0.345,-0.031,-0.034,0.054,-0.479,-1.338,0.543,-7.001,8.003,0.490,0.725,1.103
101.301,0.470,0.313,-0.826,-0.157,0.443,-0.350,-0.018,-0.019,0.039,-0.423,-1.292,0.505,-6.866,8.096,0.476,0.669,1.075
101.341,0.474,0.311,-0.824,-0.170,0.442,-0.355,-0.020,-0.047,0.041,-0.375,-1.462,0.580,-5.089,7.416,-0.042,0.695,1.148
101.341,0.477,0.313,-0.822,-0.175,0.443,-0.358,-0.009,-0.031,0.028,-0.327,-1.408,0.541,-4.936,7.512,-0.041,0.645,1.117
101.401,0.486,0.309,-0.817,-0.186,0.449,-0.361,-0.013,-0.080,0.040,-0.370,-1.681,0.637,-5.848,7.458,1.387,0.713,1.237
101.401,0.490,0.310,-0.815,-0.192,0.451,-0.364,-0.002,-0.056,0.026,-0.315,-1.605,0.589,-5.656,7.563,1.405,0.659,1.198
101.461,0.477,0.331,-0.814,-0.201,0.433,-0.386,-0.004,-0.107,0.039,-0.302,-1.881,0.642,-5.778,8.407,0.890,0.723,1.312
101.461,0.472,0.337,-0.815,-0.205,0.426,-0.394,0.006,-0.076,0.024,-0.239,-1.784,0.588,-5.559,8.508,0.928,0.667,1.265
101.501,0.460,0.345,-0.818,-0.207,0.412,-0.401,0.016,-0.104,0.009,-0.160,-1.899,0.567,-4.630,9.655,0.500,0.696,1.322
101.501,0.457,0.349,-0.818,-0.210,0.407,-0.406,0.029,-0.075,-0.018,-0.116,-1.789,0.517,-4.415,9.727,0.567,0.645,1.275
101.561,0.472,0.339,-0.814,-0.224,0.417,-0.404,0.037,-0.128,-0.022,-0.104,-1.996,0.522,-4.988,9.094,1.745,0.716,1.374
101.561,0.472,0.343,-0.812,-0.230,0.414,-0.411,0.048,-0.092,-0.046,-0.063,-1.872,0.473,-4.761,9.150,1.823,0.661,1.320
101.601,0.482,0.327,-0.813,-0.240,0.422,-0.402,0.056,-0.120,-0.053,-0.112,-1.942,0.417,-5.033,9.584,3.877,0.693,1.364
101.601,0.488,0.328,-0.809,-0.247,0.426,-0.406,0.064,-0.087,-0.071,-0.075,-1.822,0.375,-4.823,9.621,3.945,0.643,1.313
101.661,0.495,0.328,-0.804,-0.253,0.431,-0.409,0.069,-0.140,-0.072,-0.187,-1.858,0.341,-3.239,8.621,4.873,0.716,1.395
101.661,0.494,0.331,-0.804,-0.252,0.429,-0.412,0.076,-0.102,-0.088,-0.141,-1.735,0.302,-3.040,8.654,4.926,0.660,1.339
101.701,0.501,0.321,-0.804,-0.238,0.443,-0.397,0.126,-0.120,-0.041,-0.082,-1.715,0.330,-2.171,7.814,3.121,0.693,1.371
101.701,0.502,0.321,-0.803,-0.237,0.445,-0.396,0.166,-0.084,-0.015,0.003,-1.610,0.294,-1.975,7.872,3.111,0.643,1.319
101.761,0.484,0.307,-0.819,-0.214,0.436,-0.372,0.209,-0.125,0.027,0.138,-1.473,0.268,1.318,9.077,3.318,0.716,1.386
101.761,0.485,0.309,-0.818,-0.211,0.438,-0.373,0.237,-0.088,0.045,0.208,-1.379,0.233,1.474,9.129,3.321,0.661,1.331
101.801,0.480,0.300,-0.824,-0.181,0.445,-0.350,0.271,-0.099,0.070,0.217,-1.340,0.173,-1.650,9.608,4.551,0.694,1.355
101.801,0.474,0.307,-0.825,-0.173,0.441,-0.352,0.288,-0.068,0.082,0.277,-1.258,0.143,-1.525,9.656,4.553,0.643,1.304
