timestamp,R00,R01,R02,R11,R12,R22,pos_N,pos_E,pos_D,vel_N,vel_E,vel_D,accel_x,accel_y,accel_z,pos_uncert,vel_uncert
5931.601,0.997,-0.065,-0.051,0.973,0.217,0.975,0.000,0.000,0.000,-0.002,0.002,0.001,-3.376,0.763,-9.098,0.158,0.854
5931.601,0.997,-0.065,-0.051,0.973,0.218,0.975,0.000,0.000,0.000,-0.003,0.005,0.002,-3.376,0.763,-9.098,0.112,0.843
5931.601,0.997,-0.065,-0.051,0.973,0.219,0.974,0.000,0.000,0.000,-0.005,0.007,0.003,-3.376,0.763,-9.098,0.091,0.832
5931.661,0.997,-0.065,-0.050,0.973,0.218,0.975,-0.000,0.000,0.000,-0.178,-0.076,0.043,-3.379,0.783,-9.085,0.148,0.940
5931.661,0.997,-0.065,-0.049,0.973,0.218,0.975,0.000,0.000,0.000,-0.175,-0.071,0.044,-3.375,0.787,-9.084,0.108,0.925
5931.701,0.997,-0.065,-0.050,0.973,0.217,0.975,-0.001,-0.000,0.000,-0.282,-0.120,0.069,-3.352,0.807,-9.083,0.145,1.003
5931.701,0.997,-0.064,-0.051,0.974,0.216,0.975,-0.001,-0.000,0.000,-0.274,-0.112,0.068,-3.343,0.815,-9.082,0.107,0.984
5931.761,0.997,-0.066,-0.048,0.973,0.218,0.975,-0.030,0.042,-0.640,-0.436,-0.172,-0.109,-3.330,0.902,-9.384,0.155,1.117
5931.761,0.997,-0.067,-0.043,0.975,0.207,0.977,-0.031,0.046,-0.664,-0.422,-0.155,-0.113,-3.305,0.912,-9.388,0.124,1.091
5931.821,0.997,-0.066,-0.044,0.975,0.210,0.977,-0.035,0.049,-0.081,-0.561,-0.213,0.143,-3.251,0.884,-9.045,0.157,1.224
5931.821,0.997,-0.065,-0.044,0.975,0.212,0.976,-0.033,0.050,-0.059,-0.533,-0.199,0.141,-3.211,0.901,-9.045,0.112,1.190
5931.861,0.996,-0.062,-0.058,0.972,0.223,0.973,-0.038,0.052,0.392,-0.598,-0.236,0.356,-3.128,0.834,-8.716,0.146,1.266
5931.861,0.996,-0.061,-0.063,0.970,0.232,0.971,-0.036,0.052,0.417,-0.563,-0.224,0.344,-3.081,0.855,-8.730,0.112,1.229
5931.921,0.996,-0.062,-0.062,0.971,0.228,0.972,-0.036,0.049,-0.002,-0.656,-0.279,0.158,-3.007,0.978,-9.124,0.152,1.350
5931.921,0.996,-0.062,-0.061,0.971,0.227,0.972,-0.034,0.050,-0.018,-0.618,-0.258,0.138,-2.951,1.009,-9.148,0.109,1.304
5931.961,0.996,-0.064,-0.056,0.972,0.222,0.973,-0.065,0.067,-0.203,-0.670,-0.271,0.049,-2.916,1.094,-9.288,0.146,1.364
5931.961,0.997,-0.065,-0.053,0.973,0.218,0.974,-0.066,0.070,-0.213,-0.625,-0.249,0.041,-2.849,1.117,-9.298,0.109,1.318
5931.961,0.997,-0.065,-0.051,0.974,0.216,0.975,-0.066,0.071,-0.217,-0.585,-0.231,0.036,-2.790,1.135,-9.303,0.091,1.277
5932.021,0.997,-0.066,-0.044,0.974,0.213,0.976,-0.071,0.070,-0.224,-0.656,-0.270,0.051,-2.651,1.115,-9.324,0.152,1.387
5932.021,0.997,-0.067,-0.041,0.975,0.211,0.977,-0.069,0.071,-0.225,-0.609,-0.250,0.047,-2.585,1.136,-9.327,0.112,1.338
5932.061,0.997,-0.066,-0.046,0.974,0.214,0.976,-0.071,0.071,-0.068,-0.634,-0.262,0.143,-2.538,1.231,-9.166,0.146,1.391
5932.061,0.997,-0.065,-0.049,0.973,0.216,0.975,-0.069,0.072,-0.060,-0.585,-0.244,0.137,-2.477,1.253,-9.170,0.108,1.342
5932.121,0.997,-0.066,-0.043,0.975,0.211,0.976,-0.072,0.071,-0.213,-0.637,-0.270,0.063,-2.391,1.267,-9.349,0.150,1.437
5932.121,0.997,-0.066,-0.041,0.975,0.208,0.977,-0.069,0.072,-0.219,-0.588,-0.248,0.055,-2.327,1.288,-9.356,0.111,1.384
5932.161,0.997,-0.065,-0.047,0.974,0.213,0.976,-0.080,0.099,-0.095,-0.606,-0.239,0.135,-2.198,1.332,-9.152,0.147,1.426
5932.161,0.997,-0.065,-0.051,0.973,0.218,0.975,-0.078,0.102,-0.089,-0.562,-0.220,0.126,-2.147,1.355,-9.158,0.109,1.374
5932.221,0.996,-0.064,-0.055,0.972,0.222,0.974,-0.081,0.104,-0.081,-0.600,-0.241,0.145,-2.139,1.376,-9.113,0.150,1.458
5932.221,0.996,-0.064,-0.056,0.972,0.225,0.973,-0.079,0.105,-0.081,-0.555,-0.223,0.133,-2.088,1.399,-9.125,0.110,1.402
5932.261,0.996,-0.063,-0.058,0.971,0.228,0.972,-0.081,0.105,-0.081,-0.559,-0.232,0.128,-1.953,1.478,-9.377,0.146,1.437
5932.261,0.996,-0.063,-0.059,0.970,0.230,0.971,-0.079,0.105,-0.081,-0.518,-0.214,0.117,-1.908,1.498,-9.387,0.108,1.383
5932.321,0.995,-0.058,-0.077,0.966,0.246,0.966,-0.083,0.107,0.202,-0.527,-0.249,0.288,-1.736,1.326,-9.107,0.150,1.460
5932.321,0.995,-0.057,-0.083,0.963,0.257,0.963,-0.080,0.107,0.213,-0.484,-0.234,0.271,-1.695,1.349,-9.122,0.111,1.404
5932.361,0.995,-0.057,-0.080,0.965,0.251,0.965,-0.105,0.116,-0.066,-0.498,-0.239,0.094,-1.865,1.723,-9.387,0.146,1.434
5932.361,0.995,-0.058,-0.078,0.966,0.249,0.965,-0.106,0.117,-0.082,-0.464,-0.221,0.076,-1.830,1.741,-9.405,0.108,1.380
5932.421,0.996,-0.061,-0.069,0.968,0.237,0.969,-0.110,0.118,-0.260,-0.476,-0.247,-0.030,-1.616,1.587,-9.606,0.152,1.450
5932.421,0.996,-0.063,-0.064,0.970,0.231,0.971,-0.109,0.119,-0.266,-0.444,-0.227,-0.035,-1.580,1.599,-9.610,0.113,1.394
5932.421,0.996,-0.064,-0.060,0.971,0.226,0.972,-0.108,0.119,-0.269,-0.416,-0.210,-0.037,-1.549,1.609,-9.611,0.095,1.346
5932.481,0.996,-0.063,-0.064,0.970,0.229,0.971,-0.110,0.117,-0.112,-0.436,-0.229,0.058,-1.601,1.614,-9.370,0.152,1.417
5932.481,0.996,-0.062,-0.066,0.970,0.231,0.971,-0.108,0.118,-0.106,-0.405,-0.215,0.054,-1.572,1.627,-9.372,0.111,1.366
5932.521,0.994,-0.054,-0.093,0.964,0.256,0.962,-0.115,0.123,0.329,-0.394,-0.231,0.291,-1.442,1.628,-9.198,0.147,1.396
5932.521,0.993,-0.050,-0.107,0.959,0.273,0.956,-0.112,0.122,0.352,-0.359,-0.225,0.281,-1.417,1.641,-9.207,0.111,1.347
5932.581,0.996,-0.060,-0.067,0.968,0.238,0.969,-0.148,0.136,-0.530,-0.396,-0.242,-0.192,-1.500,1.675,-9.575,0.151,1.412
5932.581,0.997,-0.064,-0.048,0.973,0.220,0.974,-0.144,0.133,-0.564,-0.378,-0.220,-0.193,-1.466,1.674,-9.578,0.116,1.361
5932.621,0.996,-0.062,-0.060,0.971,0.227,0.972,-0.137,0.123,-0.169,-0.377,-0.224,0.040,-1.418,1.824,-9.415,0.153,1.387
5932.621,0.996,-0.062,-0.066,0.970,0.230,0.971,-0.134,0.123,-0.147,-0.350,-0.213,0.052,-1.397,1.832,-9.404,0.113,1.339
