timestamp,R00,R01,R02,R11,R12,R22,pos_N,pos_E,pos_D,vel_N,vel_E,vel_D,accel_x,accel_y,accel_z,pos_uncert,vel_uncert
5131.001,0.997,-0.066,-0.049,0.972,0.222,0.974,0.000,0.000,0.000,0.000,0.000,0.000,-3.391,0.833,-9.115,7.311,0.866
5131.001,0.997,-0.066,-0.050,0.972,0.223,0.974,0.000,0.000,0.000,0.000,0.000,0.000,-3.391,0.833,-9.115,7.133,0.866
5131.001,0.997,-0.066,-0.050,0.972,0.223,0.974,0.000,0.000,0.000,0.000,0.000,0.000,-3.391,0.833,-9.115,7.069,0.866
5131.041,0.997,-0.066,-0.050,0.972,0.224,0.973,-0.000,-0.000,0.000,-0.119,-0.058,0.027,-3.385,0.856,-9.082,7.044,0.879
5131.041,0.997,-0.066,-0.050,0.972,0.224,0.973,-0.000,-0.000,0.000,-0.119,-0.058,0.027,-3.385,0.856,-9.082,7.023,0.879
5131.101,0.997,-0.067,-0.050,0.971,0.225,0.973,-0.036,0.146,-0.248,-0.296,-0.148,0.061,-3.368,0.818,-9.079,7.022,0.940
5131.101,0.996,-0.067,-0.051,0.971,0.225,0.973,-0.059,0.251,-0.421,-0.296,-0.149,0.056,-3.368,0.819,-9.083,7.011,0.939
5131.141,0.996,-0.066,-0.051,0.972,0.224,0.973,-0.063,0.212,-0.361,-0.414,-0.207,0.084,-3.373,0.863,-9.108,7.012,1.002
5131.141,0.996,-0.066,-0.051,0.972,0.224,0.973,-0.057,0.188,-0.316,-0.414,-0.207,0.086,-3.372,0.863,-9.106,7.006,1.002
5131.201,0.997,-0.066,-0.049,0.972,0.224,0.973,-0.077,0.157,-0.273,-0.592,-0.294,0.129,-3.366,0.858,-9.077,7.015,1.124
5131.201,0.997,-0.066,-0.047,0.972,0.225,0.973,-0.075,0.143,-0.243,-0.593,-0.294,0.132,-3.366,0.857,-9.074,7.010,1.123
5131.241,0.997,-0.067,-0.049,0.971,0.226,0.973,-0.098,0.120,-0.213,-0.711,-0.354,0.161,-3.364,0.838,-9.084,7.016,1.218
5131.241,0.996,-0.067,-0.050,0.971,0.226,0.973,-0.096,0.110,-0.192,-0.710,-0.354,0.164,-3.364,0.838,-9.080,7.012,1.216
5131.241,0.996,-0.067,-0.051,0.971,0.226,0.973,-0.094,0.101,-0.175,-0.710,-0.355,0.165,-3.364,0.837,-9.077,7.009,1.215
5131.301,0.996,-0.067,-0.051,0.971,0.226,0.973,-0.135,0.074,-0.149,-0.888,-0.448,0.210,-3.393,0.767,-9.063,7.022,1.372
5131.301,0.996,-0.067,-0.051,0.971,0.225,0.973,-0.133,0.069,-0.136,-0.888,-0.448,0.212,-3.393,0.766,-9.060,7.020,1.371
5131.341,0.996,-0.067,-0.052,0.971,0.225,0.973,-0.159,0.019,-0.029,-1.005,-0.507,0.262,-3.365,0.850,-9.062,7.029,1.482
5131.341,0.996,-0.067,-0.052,0.971,0.225,0.973,-0.148,-0.006,0.054,-1.005,-0.507,0.282,-3.364,0.843,-9.030,7.026,1.480
5131.401,0.997,-0.067,-0.051,0.971,0.225,0.973,-0.209,-0.035,0.064,-1.185,-0.596,0.324,-3.402,0.815,-9.014,7.042,1.657
5131.401,0.997,-0.066,-0.049,0.971,0.225,0.973,-0.210,-0.034,0.059,-1.185,-0.596,0.323,-3.403,0.816,-9.017,7.040,1.654
5131.441,0.996,-0.067,-0.052,0.971,0.225,0.973,-0.259,-0.039,-0.022,-1.301,-0.656,0.314,-3.362,0.834,-9.059,7.051,1.775
5131.441,0.996,-0.067,-0.054,0.971,0.224,0.973,-0.268,-0.024,-0.099,-1.300,-0.656,0.282,-3.364,0.845,-9.106,7.049,1.771
5131.501,0.996,-0.067,-0.054,0.971,0.226,0.973,-0.351,-0.059,-0.116,-1.476,-0.744,0.304,-3.387,0.873,-9.115,7.068,1.957
5131.501,0.996,-0.067,-0.053,0.971,0.227,0.973,-0.355,-0.054,-0.143,-1.476,-0.745,0.290,-3.388,0.878,-9.135,7.066,1.953
5131.501,0.996,-0.068,-0.053,0.971,0.227,0.972,-0.358,-0.049,-0.167,-1.476,-0.746,0.278,-3.388,0.882,-9.152,7.064,1.949
5131.561,0.996,-0.067,-0.052,0.971,0.227,0.973,-0.445,-0.096,-0.136,-1.653,-0.837,0.322,-3.377,0.836,-9.152,7.086,2.139
5131.561,0.996,-0.067,-0.052,0.971,0.227,0.973,-0.445,-0.098,-0.124,-1.653,-0.837,0.329,-3.377,0.834,-9.142,7.083,2.133
5131.601,0.997,-0.067,-0.050,0.971,0.227,0.973,-0.511,-0.133,-0.101,-1.772,-0.897,0.362,-3.355,0.843,-9.124,7.099,2.260
5131.601,0.997,-0.067,-0.048,0.971,0.227,0.973,-0.511,-0.134,-0.092,-1.773,-0.897,0.369,-3.355,0.841,-9.116,7.097,2.254
5131.661,0.997,-0.067,-0.049,0.971,0.226,0.973,-0.614,-0.184,-0.106,-1.950,-0.988,0.376,-3.374,0.851,-9.165,7.123,2.446
5131.661,0.996,-0.067,-0.050,0.971,0.226,0.973,-0.613,-0.182,-0.136,-1.949,-0.987,0.351,-3.375,0.858,-9.195,7.121,2.437
5131.701,0.997,-0.067,-0.051,0.971,0.225,0.973,-0.691,-0.222,-0.110,-2.068,-1.047,0.383,-3.395,0.860,-9.194,7.140,2.563
5131.701,0.997,-0.066,-0.051,0.972,0.224,0.973,-0.691,-0.222,-0.101,-2.068,-1.046,0.391,-3.395,0.857,-9.183,7.137,2.555
5131.761,0.997,-0.066,-0.049,0.972,0.225,0.973,-0.816,-0.288,-0.169,-2.247,-1.134,0.335,-3.388,0.900,-9.273,7.170,2.746
5131.761,0.997,-0.066,-0.048,0.971,0.225,0.973,-0.813,-0.290,-0.244,-2.247,-1.134,0.260,-3.390,0.920,-9.357,7.167,2.735
5131.801,0.997,-0.066,-0.048,0.971,0.226,0.973,-0.912,-0.333,-0.111,-2.368,-1.195,0.407,-3.382,0.841,-9.195,7.191,2.860
5131.801,0.997,-0.066,-0.048,0.971,0.226,0.973,-0.919,-0.333,-0.011,-2.369,-1.196,0.512,-3.378,0.814,-9.081,7.188,2.849
5131.801,0.997,-0.066,-0.048,0.971,0.226,0.973,-0.924,-0.335,0.072,-2.370,-1.196,0.600,-3.375,0.792,-8.986,7.185,2.840
5131.861,0.997,-0.066,-0.048,0.971,0.225,0.973,-1.066,-0.406,0.096,-2.549,-1.286,0.633,-3.388,0.811,-9.014,7.226,3.033
5131.861,0.997,-0.066,-0.048,0.972,0.224,0.973,-1.065,-0.407,0.087,-2.549,-1.286,0.622,-3.388,0.814,-9.025,7.223,3.020
5131.901,0.997,-0.066,-0.047,0.972,0.224,0.973,-1.167,-0.459,0.101,-2.668,-1.345,0.639,-3.362,0.820,-9.025,7.252,3.143
5131.901,0.997,-0.066,-0.047,0.972,0.224,0.973,-1.166,-0.459,0.092,-2.669,-1.345,0.628,-3.363,0.823,-9.036,7.249,3.130
5131.961,0.997,-0.066,-0.050,0.971,0.225,0.973,-1.325,-0.541,0.114,-2.847,-1.434,0.653,-3.383,0.819,-9.037,7.298,3.319
5131.961,0.996,-0.067,-0.051,0.971,0.225,0.973,-1.325,-0.542,0.102,-2.845,-1.435,0.637,-3.383,0.822,-9.051,7.294,3.303
5132.001,0.997,-0.067,-0.050,0.971,0.225,0.973,-1.440,-0.600,0.114,-2.966,-1.493,0.646,-3.408,0.865,-9.108,7.329,3.423
5132.001,0.997,-0.066,-0.049,0.972,0.224,0.973,-1.441,-0.600,0.103,-2.966,-1.493,0.632,-3.409,0.868,-9.122,7.326,3.408
5132.061,0.996,-0.067,-0.051,0.971,0.225,0.973,-1.618,-0.691,0.124,-3.144,-1.580,0.647,-3.378,0.886,-9.123,7.386,3.594
5132.061,0.996,-0.067,-0.052,0.971,0.225,0.973,-1.619,-0.692,0.111,-3.143,-1.580,0.629,-3.379,0.890,-9.139,7.382,3.575
5132.061,0.996,-0.067,-0.052,0.971,0.225,0.973,-1.619,-0.692,0.100,-3.142,-1.580,0.615,-3.379,0.893,-9.151,7.378,3.561
5132.101,0.996,-0.067,-0.053,0.971,0.224,0.973,-1.746,-0.756,0.111,-3.259,-1.640,0.620,-3.370,0.840,-9.167,7.421,3.683
5132.101,0.996,-0.067,-0.053,0.972,0.224,0.973,-1.747,-0.756,0.101,-3.259,-1.639,0.606,-3.370,0.843,-9.179,7.418,3.668
5132.161,0.996,-0.067,-0.053,0.972,0.224,0.973,-1.943,-0.856,0.121,-3.436,-1.727,0.615,-3.387,0.891,-9.230,7.490,3.854
5132.161,0.996,-0.067,-0.052,0.972,0.224,0.973,-1.944,-0.857,0.109,-3.436,-1.727,0.598,-3.388,0.894,-9.244,7.486,3.836
5132.221,0.997,-0.066,-0.050,0.972,0.224,0.973,-2.151,-0.961,0.128,-3.614,-1.816,0.605,-3.386,0.869,-9.251,7.566,4.019
5132.221,0.997,-0.066,-0.049,0.972,0.224,0.973,-2.151,-0.962,0.115,-3.615,-1.816,0.586,-3.387,0.873,-9.265,7.561,3.998
5132.261,0.997,-0.066,-0.047,0.972,0.224,0.974,-2.294,-1.035,0.123,-3.735,-1.875,0.583,-3.397,0.867,-9.299,7.618,4.114
5132.261,0.997,-0.066,-0.047,0.972,0.223,0.974,-2.293,-1.036,0.110,-3.735,-1.874,0.565,-3.398,0.870,-9.312,7.613,4.095
5132.261,0.997,-0.066,-0.046,0.972,0.223,0.974,-2.292,-1.037,0.100,-3.735,-1.874,0.551,-3.398,0.872,-9.323,7.610,4.081
5132.321,0.997,-0.066,-0.048,0.972,0.223,0.974,-2.514,-1.151,0.117,-3.914,-1.962,0.553,-3.386,0.903,-9.336,7.705,4.268
5132.321,0.997,-0.066,-0.050,0.972,0.223,0.973,-2.513,-1.152,0.104,-3.912,-1.962,0.535,-3.387,0.906,-9.349,7.700,4.249
5132.361,0.997,-0.067,-0.048,0.971,0.225,0.973,-2.670,-1.237,0.005,-4.031,-2.022,0.378,-3.401,0.927,-9.463,7.768,4.367
5132.361,0.997,-0.067,-0.047,0.971,0.226,0.973,-2.664,-1.238,-0.091,-4.030,-2.021,0.240,-3.404,0.951,-9.562,7.763,4.349
5132.421,0.996,-0.067,-0.050,0.971,0.226,0.973,-2.906,-1.359,-0.070,-4.207,-2.110,0.262,-3.389,0.959,-9.541,7.875,4.532
5132.421,0.996,-0.068,-0.052,0.971,0.226,0.973,-2.906,-1.360,-0.064,-4.205,-2.111,0.271,-3.389,0.957,-9.534,7.869,4.512
