timestamp,R00,R01,R02,R11,R12,R22,pos_N,pos_E,pos_D,vel_N,vel_E,vel_D,accel_x,accel_y,accel_z,pos_uncert,vel_uncert
743.481,0.998,0.000,-0.070,0.999,0.047,0.996,0.000,0.000,0.000,0.001,0.000,-0.002,-0.079,1.350,-9.653,1.698,0.854
743.481,0.997,0.001,-0.077,0.999,0.053,0.996,0.000,0.000,0.000,0.002,0.000,-0.004,-0.079,1.350,-9.653,1.213,0.843
743.541,0.997,0.001,-0.081,0.999,0.054,0.995,0.000,-0.000,-0.000,0.043,0.050,0.004,-0.097,1.358,-9.616,1.033,0.965
743.541,0.997,0.001,-0.083,0.999,0.054,0.995,0.000,-0.000,-0.000,0.044,0.048,0.002,-0.097,1.357,-9.618,0.887,0.925
743.581,0.997,0.001,-0.083,0.998,0.055,0.995,0.001,0.001,-0.000,0.072,0.078,0.006,-0.086,1.349,-9.624,0.837,1.037
743.581,0.996,0.002,-0.084,0.998,0.056,0.995,0.001,0.001,-0.000,0.072,0.075,0.004,-0.088,1.346,-9.627,0.753,0.994
743.641,0.997,0.001,-0.082,0.998,0.058,0.995,0.004,0.004,-0.000,0.111,0.117,0.009,-0.085,1.347,-9.646,0.780,1.186
743.641,0.997,0.001,-0.081,0.998,0.060,0.995,0.003,0.003,-0.000,0.107,0.111,0.006,-0.090,1.341,-9.651,0.711,1.131
743.681,0.997,0.001,-0.080,0.998,0.062,0.995,0.009,0.006,0.001,0.127,0.133,0.009,-0.118,1.325,-9.660,0.725,1.235
743.681,0.997,0.001,-0.079,0.998,0.063,0.995,0.010,0.005,0.002,0.121,0.126,0.007,-0.127,1.316,-9.663,0.669,1.181
743.741,0.997,0.001,-0.077,0.998,0.066,0.995,0.016,0.010,0.004,0.147,0.153,0.009,-0.144,1.257,-9.694,0.732,1.349
743.741,0.997,0.001,-0.075,0.998,0.067,0.995,0.016,0.009,0.004,0.138,0.143,0.006,-0.156,1.246,-9.698,0.673,1.286
743.781,0.997,0.001,-0.074,0.998,0.069,0.995,0.020,0.012,0.005,0.151,0.156,0.007,-0.137,1.282,-9.689,0.703,1.367
743.781,0.997,0.001,-0.073,0.998,0.070,0.995,0.019,0.010,0.005,0.141,0.147,0.004,-0.151,1.270,-9.694,0.651,1.306
743.841,0.997,0.001,-0.071,0.997,0.072,0.995,0.024,0.015,0.006,0.159,0.166,0.005,-0.189,1.241,-9.693,0.724,1.443
743.841,0.998,0.001,-0.070,0.997,0.073,0.995,0.022,0.012,0.006,0.148,0.154,0.002,-0.205,1.226,-9.698,0.667,1.375
743.881,0.998,0.001,-0.069,0.997,0.074,0.995,0.028,0.015,0.008,0.156,0.162,0.002,-0.200,1.218,-9.695,0.700,1.435
743.881,0.998,0.000,-0.069,0.997,0.075,0.995,0.028,0.013,0.009,0.146,0.151,-0.000,-0.214,1.204,-9.699,0.649,1.371
743.941,0.998,0.000,-0.068,0.997,0.076,0.995,0.035,0.018,0.010,0.158,0.164,-0.000,-0.261,1.172,-9.713,0.725,1.482
743.941,0.998,0.000,-0.067,0.997,0.076,0.995,0.034,0.016,0.011,0.147,0.152,-0.003,-0.276,1.157,-9.718,0.667,1.413
744.001,0.998,0.000,-0.066,0.997,0.077,0.995,0.040,0.020,0.012,0.156,0.161,-0.005,-0.269,1.149,-9.738,0.738,1.510
744.001,0.998,0.000,-0.066,0.997,0.078,0.995,0.038,0.017,0.012,0.145,0.149,-0.007,-0.284,1.135,-9.743,0.678,1.438
744.041,0.998,0.000,-0.065,0.997,0.078,0.995,0.041,0.019,0.013,0.146,0.150,-0.009,-0.307,1.105,-9.727,0.709,1.474
744.041,0.998,0.000,-0.065,0.997,0.078,0.995,0.040,0.016,0.013,0.136,0.140,-0.011,-0.320,1.092,-9.731,0.655,1.409
744.101,0.998,0.000,-0.065,0.997,0.079,0.995,0.050,0.019,0.014,0.145,0.145,-0.012,-0.344,1.092,-9.753,0.730,1.491
744.101,0.998,0.000,-0.065,0.997,0.079,0.995,0.052,0.016,0.015,0.137,0.133,-0.013,-0.356,1.077,-9.755,0.672,1.423
744.141,0.998,0.000,-0.066,0.997,0.079,0.995,0.058,0.017,0.016,0.139,0.132,-0.014,-0.364,1.070,-9.741,0.705,1.453
744.141,0.998,0.000,-0.066,0.997,0.079,0.995,0.058,0.014,0.017,0.131,0.122,-0.015,-0.375,1.058,-9.743,0.652,1.391
744.201,0.998,0.000,-0.066,0.997,0.079,0.995,0.065,0.017,0.017,0.136,0.126,-0.016,-0.395,1.035,-9.756,0.728,1.463
744.201,0.998,0.000,-0.066,0.997,0.079,0.995,0.065,0.014,0.018,0.128,0.116,-0.017,-0.406,1.023,-9.757,0.670,1.399
