timestamp,R00,R01,R02,R11,R12,R22,pos_N,pos_E,pos_D,vel_N,vel_E,vel_D,accel_x,accel_y,accel_z,pos_uncert,vel_uncert
0.000,1.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.660,0.866
1642.649,0.995,0.005,0.096,0.998,-0.066,0.993,0.000,0.000,0.000,0.001,-0.001,-0.001,0.969,0.854,-9.653,1.698,0.854
1642.854,0.994,0.006,0.106,0.999,-0.051,0.993,-0.002,-0.010,-0.019,-0.008,0.269,0.033,0.977,0.869,-9.638,1.278,1.983
1643.054,0.994,0.007,0.109,1.000,-0.017,0.994,-0.001,0.001,-0.031,-0.028,0.363,0.041,0.983,0.792,-9.660,1.169,2.608
1643.254,0.994,0.007,0.107,1.000,0.007,0.994,0.002,0.010,-0.037,-0.026,0.349,0.043,0.976,0.713,-9.656,1.159,2.758
1643.454,0.994,0.007,0.107,1.000,0.019,0.994,0.002,0.013,-0.041,-0.031,0.303,0.037,0.989,0.648,-9.690,1.171,2.722
1643.654,0.995,0.005,0.098,1.000,0.002,0.995,0.007,0.010,-0.050,-0.024,0.293,0.077,0.913,0.863,-9.415,1.181,2.634
1643.854,0.996,-0.003,0.087,1.000,-0.020,0.996,0.021,0.017,-0.061,-0.058,0.238,0.107,0.606,0.229,-9.471,1.185,2.545
1644.054,1.000,0.002,0.010,0.999,-0.046,0.999,0.032,0.015,-0.072,-0.068,0.285,0.100,0.652,0.603,-9.640,1.184,2.473
1644.254,0.996,0.010,-0.093,0.993,-0.116,0.989,0.031,0.027,-0.088,0.119,0.139,0.009,1.212,-0.778,-10.153,1.180,2.418
1644.449,0.979,0.007,-0.203,0.983,-0.179,0.963,0.060,0.012,-0.114,0.012,0.301,0.157,-1.202,0.529,-8.862,1.172,2.379
1644.654,0.946,0.004,-0.323,0.978,-0.194,0.926,0.054,0.005,-0.120,0.105,0.551,0.128,-1.215,0.498,-10.026,1.176,2.368
1644.854,0.902,-0.105,-0.418,0.921,-0.383,0.824,0.074,0.004,-0.137,0.122,0.847,0.358,-2.439,1.601,-8.677,1.173,2.370
1645.049,0.911,-0.235,-0.340,0.912,-0.402,0.850,0.066,0.034,-0.113,0.417,1.156,-0.220,-3.255,-1.741,-12.712,1.167,2.357
