timestamp,R00,R01,R02,R11,R12,R22,pos_N,pos_E,pos_D,vel_N,vel_E,vel_D,accel_x,accel_y,accel_z,pos_uncert,vel_uncert
196.121,1.000,0.001,-0.002,1.000,-0.004,1.000,0.000,0.000,0.000,-0.000,-0.000,-0.002,0.210,1.174,-9.683,1.698,0.854
196.121,1.000,0.001,-0.002,1.000,-0.004,1.000,0.000,0.000,0.000,-0.001,-0.000,-0.005,0.210,1.174,-9.683,1.213,0.843
196.121,1.000,0.001,-0.002,1.000,-0.004,1.000,0.000,0.000,0.000,-0.001,-0.000,-0.007,0.210,1.174,-9.683,0.993,0.832
196.181,1.000,0.001,-0.001,1.000,-0.002,1.000,0.000,-0.000,-0.000,0.015,0.068,-0.000,0.223,1.153,-9.694,0.918,0.850
196.181,1.000,0.000,-0.001,1.000,-0.002,1.000,0.000,-0.000,-0.000,0.016,0.066,-0.000,0.224,1.151,-9.695,0.811,0.838
196.241,1.000,0.000,-0.000,1.000,-0.000,1.000,0.001,0.003,-0.000,0.030,0.132,0.007,0.217,1.168,-9.676,0.813,0.902
196.281,1.000,-0.000,0.003,1.000,0.001,1.000,0.002,0.006,-0.000,0.038,0.171,0.012,0.245,1.139,-9.661,0.792,0.957
196.281,1.000,-0.001,0.006,1.000,0.002,1.000,0.001,0.004,-0.000,0.038,0.164,0.011,0.247,1.127,-9.662,0.720,0.939
196.341,1.000,-0.000,0.003,1.000,0.001,1.000,0.001,0.011,0.012,0.047,0.223,0.018,0.238,1.136,-9.664,0.761,1.046
196.341,1.000,-0.000,0.002,1.000,0.001,1.000,-0.001,0.010,0.020,0.044,0.215,0.016,0.231,1.118,-9.671,0.697,1.023
196.381,1.000,-0.000,0.003,1.000,0.000,1.000,-0.001,0.015,0.027,0.048,0.248,0.017,0.217,1.080,-9.704,0.717,1.092
196.381,1.000,-0.000,0.003,1.000,0.000,1.000,-0.003,0.012,0.032,0.044,0.238,0.014,0.209,1.058,-9.712,0.662,1.066
196.441,1.000,-0.000,0.002,1.000,0.000,1.000,-0.002,0.021,0.038,0.049,0.287,0.016,0.173,1.038,-9.719,0.728,1.182
196.441,1.000,-0.000,0.002,1.000,-0.000,1.000,-0.004,0.017,0.041,0.045,0.273,0.013,0.164,1.009,-9.727,0.671,1.150
196.481,1.000,-0.000,0.002,1.000,0.000,1.000,-0.003,0.023,0.045,0.046,0.295,0.011,0.168,0.975,-9.741,0.701,1.214
196.481,1.000,-0.000,0.002,1.000,0.000,1.000,-0.005,0.019,0.047,0.042,0.280,0.007,0.159,0.945,-9.750,0.649,1.179
196.541,1.000,0.000,0.001,1.000,0.000,1.000,-0.005,0.028,0.051,0.044,0.313,0.014,0.142,0.895,-9.727,0.722,1.286
196.541,1.000,0.000,0.001,1.000,0.000,1.000,-0.007,0.023,0.054,0.039,0.292,0.016,0.132,0.856,-9.724,0.666,1.245
196.581,1.000,0.000,0.001,1.000,0.000,1.000,-0.007,0.027,0.058,0.038,0.303,0.021,0.127,0.813,-9.735,0.699,1.297
196.581,1.000,0.000,0.001,1.000,0.001,1.000,-0.008,0.022,0.060,0.033,0.283,0.022,0.118,0.777,-9.733,0.648,1.255
196.641,1.000,0.000,0.000,1.000,0.000,1.000,-0.008,0.030,0.063,0.034,0.303,0.026,0.114,0.728,-9.752,0.723,1.347
196.641,1.000,0.000,0.000,1.000,-0.000,1.000,-0.010,0.024,0.064,0.029,0.281,0.027,0.106,0.691,-9.751,0.666,1.300
196.681,1.000,0.000,0.001,1.000,-0.001,1.000,-0.010,0.028,0.066,0.027,0.286,0.030,0.093,0.666,-9.735,0.700,1.340
196.681,1.000,0.000,0.002,1.000,-0.002,1.000,-0.011,0.023,0.067,0.022,0.266,0.030,0.086,0.633,-9.735,0.648,1.294
196.741,1.000,0.000,0.001,1.000,-0.002,1.000,-0.011,0.031,0.074,0.026,0.281,0.031,0.080,0.583,-9.727,0.724,1.371
