timestamp,angle_axis_x,angle_axis_y,angle_axis_z,angle_axis_cos,angle_axis_sin,pos_N,pos_E,pos_D,vel_N,vel_E,vel_D,accel_x,accel_y,accel_z,pos_uncert,vel_uncert
1031.721,0.646,0.553,0.526,1.000,0.023,3.739,4.139,3.164,-0.027,0.000,0.057,0.149,-0.152,-9.802,2.238,0.134
1031.721,0.646,0.553,0.526,1.000,0.023,3.739,4.139,3.164,-0.027,0.000,0.057,0.149,-0.152,-9.802,2.238,0.134
1031.721,0.646,0.553,0.526,1.000,0.023,3.739,4.139,3.164,-0.027,0.000,0.057,0.149,-0.152,-9.802,2.238,0.134
1031.781,0.647,0.552,0.526,1.000,0.023,3.737,4.139,3.167,-0.028,0.001,0.057,0.101,-0.153,-9.830,2.241,0.135
1031.781,0.647,0.552,0.526,1.000,0.023,3.737,4.139,3.167,-0.028,0.001,0.057,0.101,-0.153,-9.830,2.241,0.135
1031.841,0.648,0.551,0.525,1.000,0.023,3.721,4.116,3.146,-0.028,0.001,0.056,0.117,-0.166,-9.848,2.235,0.134
1031.841,0.648,0.551,0.525,1.000,0.023,3.721,4.116,3.146,-0.028,0.001,0.056,0.117,-0.166,-9.848,2.235,0.134
1031.881,0.649,0.551,0.525,1.000,0.023,3.720,4.116,3.148,-0.028,0.001,0.057,0.137,-0.131,-9.817,2.237,0.135
1031.881,0.649,0.551,0.525,1.000,0.023,3.720,4.116,3.148,-0.028,0.001,0.057,0.137,-0.131,-9.817,2.237,0.135
1031.941,0.649,0.552,0.524,1.000,0.023,3.718,4.117,3.152,-0.028,0.001,0.057,0.123,-0.131,-9.813,2.240,0.136
1031.941,0.649,0.552,0.524,1.000,0.023,3.718,4.117,3.152,-0.028,0.001,0.057,0.123,-0.131,-9.813,2.240,0.136
1031.981,0.649,0.552,0.523,1.000,0.023,3.717,4.117,3.154,-0.029,0.002,0.057,0.136,-0.157,-9.812,2.242,0.136
1031.981,0.649,0.552,0.523,1.000,0.023,3.717,4.117,3.154,-0.029,0.002,0.057,0.136,-0.157,-9.812,2.242,0.136
1031.981,0.649,0.552,0.523,1.000,0.023,3.717,4.117,3.154,-0.029,0.002,0.057,0.136,-0.157,-9.812,2.242,0.136
1032.041,0.649,0.553,0.523,1.000,0.023,3.696,4.095,3.132,-0.029,0.001,0.057,0.113,-0.141,-9.789,2.236,0.135
1032.041,0.649,0.553,0.523,1.000,0.023,3.696,4.095,3.132,-0.029,0.001,0.057,0.113,-0.141,-9.789,2.236,0.135
1032.081,0.649,0.552,0.524,1.000,0.023,3.695,4.095,3.135,-0.029,0.002,0.057,0.124,-0.151,-9.801,2.237,0.136
1032.081,0.649,0.552,0.524,1.000,0.023,3.695,4.095,3.135,-0.029,0.002,0.057,0.124,-0.151,-9.801,2.237,0.136
1032.141,0.649,0.550,0.525,1.000,0.023,3.693,4.095,3.138,-0.031,0.002,0.057,0.112,-0.157,-9.827,2.240,0.137
1032.141,0.649,0.550,0.525,1.000,0.023,3.693,4.095,3.138,-0.031,0.002,0.057,0.112,-0.157,-9.827,2.240,0.137
1032.181,0.649,0.549,0.526,1.000,0.023,3.691,4.095,3.140,-0.031,0.002,0.057,0.132,-0.138,-9.820,2.242,0.137
1032.181,0.649,0.549,0.526,1.000,0.023,3.691,4.095,3.140,-0.031,0.002,0.057,0.132,-0.138,-9.820,2.242,0.137
1032.241,0.648,0.552,0.524,1.000,0.023,3.685,4.087,3.129,-0.026,0.007,0.058,0.137,-0.169,-9.808,2.235,0.135
1032.241,0.648,0.552,0.524,1.000,0.023,3.685,4.087,3.129,-0.026,0.007,0.058,0.137,-0.169,-9.808,2.235,0.135
1032.281,0.648,0.553,0.523,1.000,0.023,3.684,4.087,3.132,-0.026,0.006,0.058,0.133,-0.178,-9.793,2.237,0.136
1032.281,0.648,0.553,0.523,1.000,0.023,3.684,4.087,3.132,-0.026,0.006,0.058,0.133,-0.178,-9.793,2.237,0.136
1032.281,0.648,0.553,0.523,1.000,0.023,3.684,4.087,3.132,-0.026,0.006,0.058,0.133,-0.178,-9.793,2.237,0.136
1032.341,0.648,0.553,0.523,1.000,0.023,3.683,4.088,3.135,-0.026,0.006,0.058,0.116,-0.166,-9.808,2.240,0.136
1032.341,0.648,0.553,0.523,1.000,0.023,3.683,4.088,3.135,-0.026,0.006,0.058,0.116,-0.166,-9.808,2.240,0.136
1032.381,0.651,0.551,0.522,1.000,0.023,3.681,4.088,3.137,-0.027,0.007,0.057,0.141,-0.135,-9.820,2.242,0.137
1032.381,0.651,0.551,0.522,1.000,0.023,3.681,4.088,3.137,-0.027,0.007,0.057,0.141,-0.135,-9.820,2.242,0.137
1032.441,0.650,0.550,0.524,1.000,0.023,3.669,4.057,3.118,-0.026,0.004,0.057,0.101,-0.145,-9.828,2.233,0.134
1032.441,0.650,0.550,0.524,1.000,0.023,3.669,4.057,3.118,-0.026,0.004,0.057,0.101,-0.145,-9.828,2.233,0.134
1032.501,0.650,0.549,0.526,1.000,0.023,3.667,4.057,3.121,-0.026,0.004,0.057,0.110,-0.153,-9.789,2.236,0.135
1032.501,0.650,0.549,0.526,1.000,0.023,3.667,4.057,3.121,-0.026,0.004,0.057,0.110,-0.153,-9.789,2.236,0.135
1032.541,0.650,0.548,0.526,1.000,0.023,3.666,4.057,3.123,-0.026,0.004,0.057,0.165,-0.146,-9.816,2.238,0.135
1032.541,0.650,0.548,0.526,1.000,0.023,3.666,4.057,3.123,-0.026,0.004,0.057,0.165,-0.146,-9.816,2.238,0.135
1032.601,0.649,0.550,0.525,1.000,0.023,3.655,4.036,3.093,-0.024,0.004,0.055,0.104,-0.133,-9.833,2.230,0.133
1032.601,0.649,0.550,0.525,1.000,0.023,3.655,4.036,3.093,-0.024,0.004,0.055,0.104,-0.133,-9.833,2.230,0.133
1032.601,0.649,0.550,0.525,1.000,0.023,3.655,4.036,3.093,-0.024,0.004,0.055,0.104,-0.133,-9.833,2.230,0.133
1032.641,0.649,0.550,0.526,1.000,0.023,3.654,4.036,3.095,-0.024,0.004,0.055,0.116,-0.156,-9.807,2.232,0.133
1032.641,0.649,0.550,0.526,1.000,0.023,3.654,4.036,3.095,-0.024,0.004,0.055,0.116,-0.156,-9.807,2.232,0.133
1032.701,0.649,0.549,0.527,1.000,0.023,3.652,4.036,3.098,-0.024,0.004,0.055,0.117,-0.147,-9.822,2.235,0.134
1032.701,0.649,0.549,0.527,1.000,0.023,3.652,4.036,3.098,-0.024,0.004,0.055,0.117,-0.147,-9.822,2.235,0.134
1032.741,0.650,0.547,0.528,1.000,0.023,3.651,4.036,3.100,-0.025,0.004,0.056,0.133,-0.184,-9.796,2.237,0.135
1032.741,0.650,0.547,0.528,1.000,0.023,3.651,4.036,3.100,-0.025,0.004,0.056,0.133,-0.184,-9.796,2.237,0.135
1032.801,0.649,0.547,0.530,1.000,0.023,3.645,4.027,3.091,-0.021,0.007,0.056,0.129,-0.153,-9.848,2.230,0.133
