timestamp,R00,R01,R02,R11,R12,R22,pos_N,pos_E,pos_D,vel_N,vel_E,vel_D,accel_x,accel_y,accel_z,pos_uncert,vel_uncert
5131.001,0.341,-0.916,-0.211,0.392,-0.289,0.934,nan,nan,nan,0.007,0.031,-0.111,-3.426,0.841,-9.207,1.850,0.155
5131.001,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.152,1.147,1.874,0.007,0.031,-0.111,-3.426,0.841,-9.207,1.850,0.155
5131.001,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.152,1.147,1.874,0.007,0.031,-0.111,-3.426,0.841,-9.207,1.850,0.155
5131.041,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.152,1.148,1.869,0.006,0.031,-0.111,-3.420,0.864,-9.174,1.853,0.156
5131.041,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.152,1.148,1.869,0.006,0.031,-0.111,-3.420,0.864,-9.174,1.853,0.156
5131.101,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.151,1.150,1.863,0.007,0.032,-0.111,-3.403,0.825,-9.166,1.857,0.157
5131.101,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.151,1.150,1.863,0.007,0.032,-0.111,-3.403,0.825,-9.166,1.857,0.157
5131.141,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.151,1.151,1.858,0.007,0.032,-0.111,-3.408,0.870,-9.194,1.860,0.157
5131.141,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.151,1.151,1.858,0.007,0.032,-0.111,-3.408,0.870,-9.194,1.860,0.157
5131.201,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.167,1.159,1.848,0.002,0.037,-0.110,-3.401,0.866,-9.169,1.852,0.156
5131.201,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.167,1.159,1.848,0.002,0.037,-0.110,-3.401,0.866,-9.169,1.852,0.156
5131.241,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.167,1.160,1.843,0.002,0.037,-0.110,-3.400,0.849,-9.184,1.855,0.157
5131.241,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.167,1.160,1.843,0.002,0.037,-0.110,-3.400,0.849,-9.184,1.855,0.157
5131.241,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.167,1.160,1.843,0.002,0.037,-0.110,-3.400,0.849,-9.184,1.855,0.157
5131.301,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.167,1.162,1.837,0.003,0.038,-0.110,-3.429,0.780,-9.175,1.859,0.158
5131.301,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.167,1.162,1.837,0.003,0.038,-0.110,-3.429,0.780,-9.175,1.859,0.158
5131.341,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.167,1.164,1.832,0.002,0.039,-0.110,-3.403,0.873,-9.214,1.862,0.158
5131.341,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.167,1.164,1.832,0.002,0.039,-0.110,-3.403,0.873,-9.214,1.862,0.158
5131.401,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.173,1.154,1.824,-0.000,0.038,-0.109,-3.441,0.844,-9.195,1.845,0.152
5131.401,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.173,1.154,1.824,-0.000,0.038,-0.109,-3.441,0.844,-9.195,1.845,0.152
5131.441,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.173,1.156,1.819,0.000,0.039,-0.109,-3.398,0.849,-9.181,1.848,0.152
5131.441,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.173,1.156,1.819,0.000,0.039,-0.109,-3.398,0.849,-9.181,1.848,0.152
5131.501,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.173,1.158,1.813,-0.000,0.039,-0.109,-3.420,0.872,-9.165,1.852,0.153
5131.501,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.173,1.158,1.813,-0.000,0.039,-0.109,-3.420,0.872,-9.165,1.852,0.153
5131.501,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.173,1.158,1.813,-0.000,0.039,-0.109,-3.420,0.872,-9.165,1.852,0.153
5131.561,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.173,1.160,1.806,0.000,0.040,-0.109,-3.410,0.828,-9.177,1.856,0.154
5131.561,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.173,1.160,1.806,0.000,0.040,-0.109,-3.410,0.828,-9.177,1.856,0.154
5131.601,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.168,1.144,1.788,0.001,0.038,-0.109,-3.388,0.840,-9.168,1.847,0.153
5131.601,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.168,1.144,1.788,0.001,0.038,-0.109,-3.388,0.840,-9.168,1.847,0.153
5131.661,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.168,1.146,1.782,0.001,0.038,-0.109,-3.406,0.841,-9.180,1.851,0.154
5131.661,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.168,1.146,1.782,0.001,0.038,-0.109,-3.406,0.841,-9.180,1.851,0.154
5131.701,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.168,1.148,1.777,0.002,0.038,-0.110,-3.427,0.846,-9.191,1.854,0.154
5131.701,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.168,1.148,1.777,0.002,0.038,-0.110,-3.427,0.846,-9.191,1.854,0.154
5131.761,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.155,1.141,1.765,0.005,0.038,-0.110,-3.416,0.865,-9.178,1.858,0.155
5131.761,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.155,1.141,1.765,0.005,0.038,-0.110,-3.416,0.865,-9.178,1.858,0.155
5131.801,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.154,1.142,1.760,0.006,0.038,-0.109,-3.412,0.819,-9.156,1.845,0.151
5131.801,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.154,1.142,1.760,0.006,0.038,-0.109,-3.412,0.819,-9.156,1.845,0.151
5131.801,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.154,1.142,1.760,0.006,0.038,-0.109,-3.412,0.819,-9.156,1.845,0.151
5131.861,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.154,1.144,1.754,0.006,0.039,-0.110,-3.424,0.835,-9.172,1.849,0.152
5131.861,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.154,1.144,1.754,0.006,0.039,-0.110,-3.424,0.835,-9.172,1.849,0.152
5131.901,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.154,1.146,1.749,0.006,0.039,-0.109,-3.398,0.838,-9.158,1.852,0.153
5131.901,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.154,1.146,1.749,0.006,0.039,-0.109,-3.398,0.838,-9.158,1.852,0.153
5131.961,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.153,1.127,1.741,0.006,0.036,-0.108,-3.418,0.831,-9.142,1.856,0.154
5131.961,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.153,1.127,1.741,0.006,0.036,-0.108,-3.418,0.831,-9.142,1.856,0.154
5132.001,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.152,1.128,1.737,0.006,0.036,-0.108,-3.442,0.870,-9.183,1.844,0.151
5132.001,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.152,1.128,1.737,0.006,0.036,-0.108,-3.442,0.870,-9.183,1.844,0.151
5132.061,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.152,1.130,1.730,0.006,0.037,-0.108,-3.411,0.883,-9.165,1.849,0.152
5132.061,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.152,1.130,1.730,0.006,0.037,-0.108,-3.411,0.883,-9.165,1.849,0.152
5132.061,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.152,1.130,1.730,0.006,0.037,-0.108,-3.411,0.883,-9.165,1.849,0.152
5132.101,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.152,1.132,1.726,0.008,0.037,-0.108,-3.400,0.826,-9.166,1.851,0.153
5132.101,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.152,1.132,1.726,0.008,0.037,-0.108,-3.400,0.826,-9.166,1.851,0.153
5132.161,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.144,1.120,1.709,0.009,0.035,-0.108,-3.417,0.871,-9.198,1.855,0.154
5132.161,0.341,-0.916,-0.211,0.392,-0.289,0.934,-0.144,1.120,1.709,0.009,0.035,-0.108,-3.417,0.871,-9.198,1.855,0.154
