timestamp,R00,R01,R02,R11,R12,R22,pos_N,pos_E,pos_D,vel_N,vel_E,vel_D,accel_x,accel_y,accel_z,pos_uncert,vel_uncert
8794.261,-0.929,0.317,0.190,-0.874,-0.323,0.927,nan,nan,nan,0.016,0.016,0.009,-0.638,3.623,-9.128,0.900,0.102
8794.261,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.089,0.443,0.628,0.016,0.016,0.009,-0.638,3.623,-9.128,0.900,0.102
8794.321,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.090,0.444,0.628,0.016,0.016,0.010,-0.597,3.645,-9.109,0.903,0.103
8794.321,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.090,0.444,0.628,0.016,0.016,0.010,-0.597,3.645,-9.109,0.903,0.103
8794.361,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.082,0.436,0.613,0.013,0.015,0.008,-0.616,3.644,-9.092,0.896,0.100
8794.361,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.082,0.436,0.613,0.013,0.015,0.008,-0.616,3.644,-9.092,0.896,0.100
8794.421,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.083,0.436,0.614,0.013,0.015,0.008,-0.629,3.627,-9.086,0.898,0.101
8794.421,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.083,0.436,0.614,0.013,0.015,0.008,-0.629,3.627,-9.086,0.898,0.101
8794.461,-0.929,0.317,0.190,-0.874,-0.322,0.927,0.084,0.437,0.614,0.014,0.015,0.008,-0.615,3.629,-9.106,0.900,0.102
8794.461,-0.929,0.317,0.190,-0.874,-0.322,0.927,0.084,0.437,0.614,0.014,0.015,0.008,-0.615,3.629,-9.106,0.900,0.102
8794.521,-0.929,0.317,0.190,-0.874,-0.322,0.927,0.084,0.438,0.614,0.014,0.015,0.007,-0.624,3.612,-9.108,0.902,0.103
8794.521,-0.929,0.317,0.190,-0.874,-0.322,0.927,0.084,0.438,0.614,0.014,0.015,0.007,-0.624,3.612,-9.108,0.902,0.103
8794.581,-0.929,0.317,0.190,-0.874,-0.322,0.927,0.081,0.431,0.609,0.014,0.014,0.007,-0.627,3.616,-9.115,0.897,0.101
8794.581,-0.929,0.317,0.190,-0.874,-0.322,0.927,0.081,0.431,0.609,0.014,0.014,0.007,-0.627,3.616,-9.115,0.897,0.101
8794.621,-0.929,0.317,0.190,-0.874,-0.322,0.927,0.082,0.431,0.610,0.014,0.014,0.007,-0.626,3.615,-9.092,0.899,0.102
8794.621,-0.929,0.317,0.190,-0.874,-0.322,0.927,0.082,0.431,0.610,0.014,0.014,0.007,-0.626,3.615,-9.092,0.899,0.102
8794.681,-0.929,0.317,0.190,-0.874,-0.322,0.927,0.082,0.432,0.610,0.014,0.014,0.007,-0.633,3.631,-9.123,0.902,0.103
8794.681,-0.929,0.317,0.190,-0.874,-0.322,0.927,0.082,0.432,0.610,0.014,0.014,0.007,-0.633,3.631,-9.123,0.902,0.103
8794.721,-0.929,0.317,0.190,-0.874,-0.322,0.927,0.083,0.433,0.610,0.015,0.014,0.007,-0.604,3.627,-9.119,0.903,0.104
8794.721,-0.929,0.317,0.190,-0.874,-0.322,0.927,0.083,0.433,0.610,0.015,0.014,0.007,-0.604,3.627,-9.119,0.903,0.104
8794.781,-0.929,0.317,0.190,-0.874,-0.322,0.927,0.086,0.424,0.596,0.016,0.013,0.006,-0.629,3.633,-9.130,0.898,0.102
8794.781,-0.929,0.317,0.190,-0.874,-0.322,0.927,0.086,0.424,0.596,0.016,0.013,0.006,-0.629,3.633,-9.130,0.898,0.102
8794.821,-0.929,0.317,0.190,-0.874,-0.322,0.927,0.086,0.425,0.596,0.016,0.013,0.006,-0.631,3.632,-9.116,0.900,0.103
8794.821,-0.929,0.317,0.190,-0.874,-0.322,0.927,0.086,0.425,0.596,0.016,0.013,0.006,-0.631,3.632,-9.116,0.900,0.103
8794.881,-0.929,0.317,0.190,-0.874,-0.322,0.927,0.087,0.426,0.596,0.017,0.013,0.005,-0.629,3.637,-9.125,0.903,0.104
8794.881,-0.929,0.317,0.190,-0.874,-0.322,0.927,0.087,0.426,0.596,0.017,0.013,0.005,-0.629,3.637,-9.125,0.903,0.104
8794.921,-0.929,0.317,0.190,-0.874,-0.322,0.927,0.088,0.426,0.597,0.017,0.014,0.005,-0.624,3.608,-9.099,0.904,0.104
8794.921,-0.929,0.317,0.190,-0.874,-0.322,0.927,0.088,0.426,0.597,0.017,0.014,0.005,-0.624,3.608,-9.099,0.904,0.104
8794.981,-0.929,0.317,0.190,-0.874,-0.322,0.927,0.084,0.422,0.585,0.015,0.014,0.005,-0.612,3.615,-9.064,0.897,0.101
8794.981,-0.929,0.317,0.190,-0.874,-0.322,0.927,0.084,0.422,0.585,0.015,0.014,0.005,-0.612,3.615,-9.064,0.897,0.101
8795.021,-0.929,0.317,0.190,-0.874,-0.322,0.927,0.085,0.423,0.586,0.016,0.015,0.005,-0.638,3.637,-9.099,0.899,0.101
8795.021,-0.929,0.317,0.190,-0.874,-0.322,0.927,0.085,0.423,0.586,0.016,0.015,0.005,-0.638,3.637,-9.099,0.899,0.101
8795.081,-0.929,0.317,0.190,-0.874,-0.322,0.927,0.086,0.424,0.586,0.016,0.016,0.005,-0.627,3.607,-9.104,0.901,0.102
8795.081,-0.929,0.317,0.190,-0.874,-0.322,0.927,0.086,0.424,0.586,0.016,0.016,0.005,-0.627,3.607,-9.104,0.901,0.102
8795.141,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.084,0.418,0.572,0.015,0.015,0.004,-0.618,3.606,-9.098,0.895,0.100
8795.141,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.084,0.418,0.572,0.015,0.015,0.004,-0.618,3.606,-9.098,0.895,0.100
8795.181,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.085,0.419,0.572,0.015,0.015,0.004,-0.604,3.623,-9.099,0.897,0.101
8795.181,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.085,0.419,0.572,0.015,0.015,0.004,-0.604,3.623,-9.099,0.897,0.101
8795.241,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.085,0.420,0.572,0.016,0.016,0.004,-0.623,3.640,-9.111,0.900,0.102
8795.241,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.085,0.420,0.572,0.016,0.016,0.004,-0.623,3.640,-9.111,0.900,0.102
8795.281,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.086,0.420,0.572,0.016,0.016,0.004,-0.650,3.619,-9.102,0.901,0.102
8795.281,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.086,0.420,0.572,0.016,0.016,0.004,-0.650,3.619,-9.102,0.901,0.102
8795.341,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.082,0.412,0.557,0.014,0.015,0.003,-0.644,3.623,-9.083,0.895,0.100
8795.341,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.082,0.412,0.557,0.014,0.015,0.003,-0.644,3.623,-9.083,0.895,0.100
8795.381,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.082,0.413,0.558,0.014,0.015,0.004,-0.636,3.615,-9.075,0.897,0.101
8795.381,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.082,0.413,0.558,0.014,0.015,0.004,-0.636,3.615,-9.075,0.897,0.101
8795.441,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.083,0.414,0.558,0.014,0.016,0.004,-0.652,3.613,-9.108,0.900,0.102
8795.481,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.084,0.414,0.558,0.014,0.016,0.004,-0.630,3.618,-9.122,0.901,0.102
8795.481,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.084,0.414,0.558,0.014,0.016,0.004,-0.630,3.618,-9.122,0.901,0.102
8795.541,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.094,0.397,0.556,0.019,0.011,0.005,-0.627,3.625,-9.129,0.892,0.097
8795.541,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.094,0.397,0.556,0.019,0.011,0.005,-0.627,3.625,-9.129,0.892,0.097
8795.581,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.095,0.397,0.556,0.019,0.011,0.005,-0.612,3.649,-9.093,0.894,0.098
8795.581,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.095,0.397,0.556,0.019,0.011,0.005,-0.612,3.649,-9.093,0.894,0.098
8795.641,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.096,0.398,0.556,0.020,0.012,0.005,-0.652,3.638,-9.136,0.896,0.098
8795.641,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.096,0.398,0.556,0.020,0.012,0.005,-0.652,3.638,-9.136,0.896,0.098
8795.681,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.096,0.399,0.557,0.020,0.012,0.005,-0.645,3.620,-9.080,0.898,0.099
8795.681,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.096,0.399,0.557,0.020,0.012,0.005,-0.645,3.620,-9.080,0.898,0.099
8795.741,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.107,0.397,0.534,0.023,0.014,0.003,-0.624,3.623,-9.103,0.893,0.098
8795.741,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.107,0.397,0.534,0.023,0.014,0.003,-0.624,3.623,-9.103,0.893,0.098
8795.801,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.108,0.398,0.534,0.023,0.014,0.003,-0.614,3.623,-9.105,0.895,0.099
8795.801,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.108,0.398,0.534,0.023,0.014,0.003,-0.614,3.623,-9.105,0.895,0.099
8795.841,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.109,0.399,0.534,0.024,0.015,0.002,-0.636,3.604,-9.119,0.897,0.099
8795.841,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.109,0.399,0.534,0.024,0.015,0.002,-0.636,3.604,-9.119,0.897,0.099
8795.901,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.110,0.400,0.534,0.024,0.015,0.002,-0.629,3.622,-9.081,0.899,0.100
8795.901,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.110,0.400,0.534,0.024,0.015,0.002,-0.629,3.622,-9.081,0.899,0.100
8795.941,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.117,0.401,0.518,0.027,0.018,0.001,-0.621,3.625,-9.089,0.892,0.097
8795.941,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.117,0.401,0.518,0.027,0.018,0.001,-0.621,3.625,-9.089,0.892,0.097
8796.001,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.119,0.402,0.518,0.027,0.018,0.002,-0.632,3.624,-9.100,0.894,0.098
8796.001,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.119,0.402,0.518,0.027,0.018,0.002,-0.632,3.624,-9.100,0.894,0.098
8796.041,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.120,0.403,0.518,0.028,0.018,0.002,-0.611,3.636,-9.107,0.896,0.099
8796.041,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.120,0.403,0.518,0.028,0.018,0.002,-0.611,3.636,-9.107,0.896,0.099
8796.101,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.122,0.404,0.518,0.029,0.018,0.002,-0.621,3.632,-9.133,0.899,0.100
8796.101,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.122,0.404,0.518,0.029,0.018,0.002,-0.621,3.632,-9.133,0.899,0.100
8796.141,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.128,0.395,0.497,0.030,0.017,-0.001,-0.635,3.625,-9.103,0.893,0.098
8796.141,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.128,0.395,0.497,0.030,0.017,-0.001,-0.635,3.625,-9.103,0.893,0.098
8796.201,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.129,0.396,0.497,0.031,0.018,-0.001,-0.623,3.607,-9.131,0.895,0.099
8796.201,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.129,0.396,0.497,0.031,0.018,-0.001,-0.623,3.607,-9.131,0.895,0.099
8796.241,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.131,0.397,0.497,0.031,0.018,-0.001,-0.633,3.617,-9.131,0.897,0.100
8796.241,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.131,0.397,0.497,0.031,0.018,-0.001,-0.633,3.617,-9.131,0.897,0.100
8796.301,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.133,0.398,0.497,0.032,0.018,-0.001,-0.608,3.619,-9.088,0.899,0.101
8796.301,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.133,0.398,0.497,0.032,0.018,-0.001,-0.608,3.619,-9.088,0.899,0.101
8796.361,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.126,0.382,0.476,0.029,0.014,-0.003,-0.641,3.612,-9.114,0.893,0.098
8796.361,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.126,0.382,0.476,0.029,0.014,-0.003,-0.641,3.612,-9.114,0.893,0.098
8796.401,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.127,0.383,0.476,0.030,0.014,-0.003,-0.636,3.624,-9.113,0.895,0.099
8796.401,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.127,0.383,0.476,0.030,0.014,-0.003,-0.636,3.624,-9.113,0.895,0.099
8796.461,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.129,0.384,0.476,0.030,0.014,-0.003,-0.617,3.618,-9.109,0.897,0.100
8796.461,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.129,0.384,0.476,0.030,0.014,-0.003,-0.617,3.618,-9.109,0.897,0.100
8796.501,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.130,0.384,0.476,0.031,0.014,-0.003,-0.647,3.635,-9.118,0.899,0.100
8796.501,-0.929,0.317,0.190,-0.874,-0.323,0.927,0.130,0.384,0.476,0.031,0.014,-0.003,-0.647,3.635,-9.118,0.899,0.100
8796.561,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.113,0.373,0.460,0.023,0.012,-0.004,-0.645,3.636,-9.093,0.891,0.096
8796.561,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.113,0.373,0.460,0.023,0.012,-0.004,-0.645,3.636,-9.093,0.891,0.096
8796.601,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.114,0.374,0.459,0.022,0.013,-0.004,-0.607,3.612,-9.082,0.892,0.097
8796.601,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.114,0.374,0.459,0.022,0.013,-0.004,-0.607,3.612,-9.082,0.892,0.097
8796.661,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.115,0.375,0.459,0.023,0.013,-0.003,-0.632,3.612,-9.098,0.895,0.098
8796.661,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.115,0.375,0.459,0.023,0.013,-0.003,-0.632,3.612,-9.098,0.895,0.098
8796.701,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.116,0.375,0.459,0.023,0.013,-0.003,-0.642,3.632,-9.072,0.896,0.099
8796.701,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.116,0.375,0.459,0.023,0.013,-0.003,-0.642,3.632,-9.072,0.896,0.099
8796.761,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.123,0.370,0.440,0.025,0.014,-0.004,-0.634,3.638,-9.086,0.891,0.097
8796.761,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.123,0.370,0.440,0.025,0.014,-0.004,-0.634,3.638,-9.086,0.891,0.097
8796.801,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.124,0.371,0.440,0.025,0.014,-0.004,-0.632,3.633,-9.117,0.893,0.098
8796.801,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.124,0.371,0.440,0.025,0.014,-0.004,-0.632,3.633,-9.117,0.893,0.098
8796.861,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.125,0.372,0.440,0.025,0.014,-0.004,-0.623,3.636,-9.084,0.895,0.099
8796.861,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.125,0.372,0.440,0.025,0.014,-0.004,-0.623,3.636,-9.084,0.895,0.099
8796.921,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.127,0.372,0.439,0.026,0.014,-0.005,-0.614,3.629,-9.081,0.898,0.099
8796.921,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.127,0.372,0.439,0.026,0.014,-0.005,-0.614,3.629,-9.081,0.898,0.099
8796.961,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.133,0.367,0.419,0.027,0.015,-0.006,-0.617,3.648,-9.099,0.892,0.098
8796.961,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.133,0.367,0.419,0.027,0.015,-0.006,-0.617,3.648,-9.099,0.892,0.098
8797.021,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.135,0.368,0.419,0.027,0.015,-0.007,-0.623,3.631,-9.099,0.894,0.099
8797.021,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.135,0.368,0.419,0.027,0.015,-0.007,-0.623,3.631,-9.099,0.894,0.099
8797.061,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.136,0.368,0.419,0.028,0.015,-0.007,-0.639,3.637,-9.119,0.896,0.099
8797.061,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.136,0.368,0.419,0.028,0.015,-0.007,-0.639,3.637,-9.119,0.896,0.099
8797.121,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.138,0.369,0.418,0.028,0.016,-0.007,-0.616,3.623,-9.091,0.898,0.100
8797.121,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.138,0.369,0.418,0.028,0.016,-0.007,-0.616,3.623,-9.091,0.898,0.100
8797.161,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.141,0.341,0.408,0.029,0.007,-0.006,-0.646,3.624,-9.112,0.887,0.094
8797.161,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.141,0.341,0.408,0.029,0.007,-0.006,-0.646,3.624,-9.112,0.887,0.094
8797.221,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.143,0.341,0.407,0.029,0.007,-0.006,-0.606,3.617,-9.081,0.890,0.095
8797.261,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.144,0.342,0.407,0.029,0.008,-0.005,-0.632,3.640,-9.089,0.891,0.096
8797.261,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.144,0.342,0.407,0.029,0.008,-0.005,-0.632,3.640,-9.089,0.891,0.096
8797.321,-0.930,0.316,0.190,-0.874,-0.323,0.927,0.146,0.342,0.407,0.029,0.008,-0.004,-0.624,3.612,-9.119,0.894,0.097
8797.321,-0.930,0.316,0.190,-0.874,-0.323,0.927,0.146,0.342,0.407,0.029,0.008,-0.004,-0.624,3.612,-9.119,0.894,0.097
8797.361,-0.930,0.316,0.190,-0.874,-0.323,0.927,0.144,0.330,0.391,0.027,0.006,-0.005,-0.637,3.624,-9.092,0.886,0.094
8797.361,-0.930,0.316,0.190,-0.874,-0.323,0.927,0.144,0.330,0.391,0.027,0.006,-0.005,-0.637,3.624,-9.092,0.886,0.094
8797.421,-0.930,0.316,0.190,-0.874,-0.323,0.927,0.145,0.331,0.391,0.028,0.006,-0.005,-0.618,3.626,-9.111,0.888,0.095
8797.421,-0.930,0.316,0.190,-0.874,-0.323,0.927,0.145,0.331,0.391,0.028,0.006,-0.005,-0.618,3.626,-9.111,0.888,0.095
8797.481,-0.930,0.316,0.190,-0.874,-0.323,0.927,0.147,0.331,0.391,0.029,0.007,-0.005,-0.608,3.632,-9.155,0.890,0.096
8797.481,-0.930,0.316,0.190,-0.874,-0.323,0.927,0.147,0.331,0.391,0.029,0.007,-0.005,-0.608,3.632,-9.155,0.890,0.096
8797.521,-0.930,0.316,0.190,-0.874,-0.323,0.927,0.148,0.331,0.391,0.029,0.007,-0.005,-0.622,3.646,-9.111,0.892,0.096
8797.521,-0.930,0.316,0.190,-0.874,-0.323,0.927,0.148,0.331,0.391,0.029,0.007,-0.005,-0.622,3.646,-9.111,0.892,0.096
8797.581,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.139,0.323,0.379,0.024,0.006,-0.006,-0.630,3.604,-9.091,0.886,0.095
8797.581,-0.929,0.316,0.190,-0.874,-0.323,0.927,0.139,0.323,0.379,0.024,0.006,-0.006,-0.630,3.604,-9.091,0.886,0.095
8797.621,-0.930,0.316,0.190,-0.874,-0.323,0.927,0.140,0.324,0.379,0.024,0.006,-0.005,-0.617,3.606,-9.106,0.888,0.095
8797.621,-0.930,0.316,0.190,-0.874,-0.323,0.927,0.140,0.324,0.379,0.024,0.006,-0.005,-0.617,3.606,-9.106,0.888,0.095
8797.681,-0.930,0.316,0.190,-0.874,-0.323,0.927,0.141,0.324,0.378,0.025,0.007,-0.005,-0.650,3.631,-9.123,0.890,0.096
8797.681,-0.930,0.316,0.190,-0.874,-0.323,0.927,0.141,0.324,0.378,0.025,0.007,-0.005,-0.650,3.631,-9.123,0.890,0.096
8797.721,-0.930,0.316,0.190,-0.874,-0.323,0.927,0.142,0.324,0.378,0.025,0.007,-0.005,-0.633,3.616,-9.095,0.892,0.097
8797.721,-0.930,0.316,0.190,-0.874,-0.323,0.927,0.142,0.324,0.378,0.025,0.007,-0.005,-0.633,3.616,-9.095,0.892,0.097
