timestamp,R00,R01,R02,R11,R12,R22,pos_N,pos_E,pos_D,vel_N,vel_E,vel_D,accel_x,accel_y,accel_z,pos_uncert,vel_uncert
101.041,-0.067,0.181,-0.981,0.723,0.086,-0.172,nan,nan,nan,-0.027,0.116,-0.103,-6.364,6.302,0.596,3.406,0.305
101.041,-0.067,0.181,-0.981,0.723,0.086,-0.172,1.829,-0.894,3.178,-0.027,0.116,-0.103,-6.364,6.302,0.596,3.406,0.305
101.041,-0.067,0.181,-0.981,0.723,0.086,-0.172,1.829,-0.894,3.178,-0.027,0.116,-0.103,-6.364,6.302,0.596,3.406,0.305
101.101,-0.069,0.207,-0.976,0.716,0.103,-0.192,1.809,-0.911,3.120,-0.011,0.034,-0.089,-7.872,5.030,1.997,3.384,0.291
101.141,-0.080,0.228,-0.970,0.710,0.110,-0.215,1.808,-0.910,3.117,0.008,0.037,-0.060,-5.116,7.855,0.031,3.387,0.293
101.141,-0.080,0.228,-0.970,0.710,0.110,-0.215,1.808,-0.910,3.117,0.008,0.037,-0.060,-5.116,7.855,0.031,3.387,0.293
101.201,-0.087,0.240,-0.967,0.701,0.111,-0.230,1.812,-0.910,3.113,0.063,-0.019,-0.069,-6.129,6.022,2.040,3.391,0.298
101.201,-0.087,0.240,-0.967,0.701,0.111,-0.230,1.812,-0.910,3.113,0.063,-0.019,-0.069,-6.129,6.022,2.040,3.391,0.298
101.241,-0.098,0.251,-0.963,0.700,0.111,-0.245,1.815,-0.911,3.112,0.122,-0.038,-0.008,-6.752,7.334,0.700,3.394,0.302
101.241,-0.098,0.251,-0.963,0.700,0.111,-0.245,1.815,-0.911,3.112,0.122,-0.038,-0.008,-6.752,7.334,0.700,3.394,0.302
101.301,-0.099,0.261,-0.960,0.695,0.116,-0.254,1.826,-0.916,3.109,0.220,-0.122,-0.096,-7.487,7.653,0.420,3.399,0.312
101.301,-0.099,0.261,-0.960,0.695,0.116,-0.254,1.826,-0.916,3.109,0.220,-0.122,-0.096,-7.487,7.653,0.420,3.399,0.312
101.341,-0.101,0.263,-0.959,0.691,0.114,-0.258,1.961,-0.974,3.019,0.428,-0.177,-0.060,-5.881,6.864,-0.099,3.372,0.298
101.341,-0.101,0.263,-0.959,0.691,0.114,-0.258,1.961,-0.974,3.019,0.428,-0.177,-0.060,-5.881,6.864,-0.099,3.372,0.298
101.401,-0.101,0.256,-0.961,0.687,0.108,-0.254,1.989,-0.987,3.017,0.509,-0.236,0.002,-7.013,6.689,1.308,3.376,0.314
101.401,-0.101,0.256,-0.961,0.687,0.108,-0.254,1.989,-0.987,3.017,0.509,-0.236,0.002,-7.013,6.689,1.308,3.376,0.314
101.461,-0.105,0.271,-0.957,0.687,0.116,-0.267,2.022,-1.002,3.016,0.567,-0.288,-0.040,-7.391,7.414,0.746,3.380,0.327
101.461,-0.105,0.271,-0.957,0.687,0.116,-0.267,2.022,-1.002,3.016,0.567,-0.288,-0.040,-7.391,7.414,0.746,3.380,0.327
101.501,-0.110,0.274,-0.956,0.689,0.114,-0.272,2.047,-1.015,3.015,0.674,-0.314,-0.053,-6.714,8.473,0.237,3.383,0.342
101.501,-0.110,0.274,-0.956,0.689,0.114,-0.272,2.047,-1.015,3.015,0.674,-0.314,-0.053,-6.714,8.473,0.237,3.383,0.342
101.561,-0.113,0.266,-0.957,0.689,0.107,-0.268,2.035,-0.939,2.930,0.790,-0.329,-0.114,-7.557,7.769,1.323,3.352,0.316
101.561,-0.113,0.266,-0.957,0.689,0.107,-0.268,2.035,-0.939,2.930,0.790,-0.329,-0.114,-7.557,7.769,1.323,3.352,0.316
101.601,-0.098,0.264,-0.959,0.683,0.114,-0.258,2.068,-0.953,2.925,0.809,-0.338,-0.149,-8.077,8.155,3.297,3.355,0.326
101.601,-0.098,0.264,-0.959,0.683,0.114,-0.258,2.068,-0.953,2.925,0.809,-0.338,-0.149,-8.077,8.155,3.297,3.355,0.326
101.661,-0.086,0.272,-0.958,0.677,0.127,-0.256,2.114,-0.973,2.913,0.727,-0.316,-0.221,-6.733,7.115,4.159,3.358,0.317
101.661,-0.086,0.272,-0.958,0.677,0.127,-0.256,2.114,-0.973,2.913,0.727,-0.316,-0.221,-6.733,7.115,4.159,3.358,0.317
101.701,-0.082,0.257,-0.963,0.681,0.120,-0.242,2.191,-0.953,2.834,0.766,-0.278,-0.211,-6.100,6.213,2.373,3.361,0.312
101.701,-0.082,0.257,-0.963,0.681,0.120,-0.242,2.191,-0.953,2.834,0.766,-0.278,-0.211,-6.100,6.213,2.373,3.361,0.312
101.761,-0.085,0.241,-0.967,0.688,0.108,-0.232,2.237,-0.964,2.822,0.759,-0.083,-0.149,-2.999,7.364,2.581,3.337,0.281
101.761,-0.085,0.241,-0.967,0.688,0.108,-0.232,2.237,-0.964,2.822,0.759,-0.083,-0.149,-2.999,7.364,2.581,3.337,0.281
101.801,-0.086,0.220,-0.972,0.696,0.094,-0.216,2.269,-0.967,2.819,0.802,-0.038,-0.072,-6.275,7.792,3.810,3.340,0.288
101.801,-0.086,0.220,-0.972,0.696,0.094,-0.216,2.269,-0.967,2.819,0.802,-0.038,-0.072,-6.275,7.792,3.810,3.340,0.288
101.861,-0.097,0.197,-0.976,0.695,0.069,-0.208,2.315,-0.964,2.814,0.693,0.126,-0.089,-5.473,7.014,4.317,3.343,0.287
101.861,-0.097,0.197,-0.976,0.695,0.069,-0.208,2.315,-0.964,2.814,0.693,0.126,-0.089,-5.473,7.014,4.317,3.343,0.287
